species,species_code,#_Seedpods,#_Seed_per_pod,Seedpod_mass_g,envelope_ID_motherfamily,Total#_seeds_weighed,total_seed_mass_g,comments,person,date
Taeniatherum caput-medusae ,Taecap,1,6,0.0399,NA,6,0.0307,NA,GL CS,20180424
Taeniatherum caput-medusae ,Taecap,1,7,0.0554,NA,7,0.037,NA,GL CS,20180424
Avena fatua,Avefat,NA,NA,NA,NA,7,0.1241,NA,GL CS,20180430
Avena fatua,Avefat,NA,NA,NA,NA,29,0.7167,NA,GL CS,20180430
Avena fatua,Avefat,NA,NA,NA,NA,5,0.1274,NA,GL CS,20180430
Avena fatua,Avefat,NA,NA,NA,NA,10,0.2038,NA,GL CS,20180430
Avena fatua,Avefat,NA,NA,NA,NA,2,0.052,NA,GL CS,20180430
Avena fatua,Avefat,NA,NA,NA,NA,4,0.0894,NA,GL CS,20180430
Avena fatua,Avefat,NA,NA,NA,NA,39,0.9127,NA,GL CS,20180430
Avena fatua,Avefat,NA,NA,NA,NA,17,0.3212,NA,GL CS,20180430
Avena fatua,Avefat,NA,NA,NA,NA,3,0.0805,NA,GL CS,20180430
Avena fatua,Avefat,NA,NA,NA,NA,8,0.1495,NA,GL CS,20180430
Avena fatua,Avefat,NA,NA,NA,NA,9,0.1264,NA,GL CS,20180430
Avena fatua,Avefat,NA,NA,NA,NA,10,0.2581,NA,GL CS,20180430
Avena fatua,Avefat,NA,NA,NA,NA,9,0.2055,NA,GL CS,20180430
Avena fatua,Avefat,NA,NA,NA,NA,2,0.0513,NA,GL CS,20180430
Avena fatua,Avefat,NA,NA,NA,NA,2,0.0487,NA,GL CS,20180430
Avena fatua,Avefat,NA,NA,NA,NA,5,0.1035,NA,GL CS,20180430
Avena fatua,Avefat,NA,NA,NA,NA,3,0.0792,NA,GL CS,20180430
Avena fatua,Avefat,NA,NA,NA,NA,3,0.066,NA,GL CS,20180430
Avena fatua,Avefat,NA,NA,NA,NA,7,0.1739,NA,GL CS,20180430
Avena fatua,Avefat,NA,NA,NA,NA,4,0.0807,NA,GL CS,20180430
Avena fatua,Avefat,NA,NA,NA,NA,3,0.065,NA,GL CS,20180430
Avena fatua,Avefat,NA,NA,NA,NA,1,0.029,NA,GL CS,20180430
Avena fatua,Avefat,NA,NA,NA,NA,15,0.3718,NA,GL CS,20180430
Avena fatua,Avefat,NA,NA,NA,NA,5,0.105,NA,GL CS,20180430
Avena fatua,Avefat,NA,NA,NA,NA,3,0.0597,NA,GL CS,20180430
Bromus hordeaceus,Brohor,NA,NA,NA,NA,17,0.0271,Not measuring seed pod,GL CS,20180503
Bromus hordeaceus,Brohor,NA,NA,NA,NA,51,0.0928,NA,GL CS,20180503
Bromus hordeaceus,Brohor,NA,NA,NA,NA,50,0.0784,NA,GL CS,20180503
Bromus hordeaceus,Brohor,NA,NA,NA,NA,30,0.0509,NA,GL CS,20180503
Bromus hordeaceus,Brohor,NA,NA,NA,NA,70,0.1433,NA,Gl CS,20180503
Hemizonia congesta,Hemcon,NA,NA,NA,1,25,0.0262,11/11/2017,GM NG,20181102
Hemizonia congesta,Hemcon,NA,NA,NA,2,85,0.0633,11/11/2017,GM NG,20181102
Hemizonia congesta,Hemcon,NA,NA,NA,3,41,0.0168,11/11/2017,GM NG,20181102
Allium falcifolium,Allfal,NA,NA,NA,1,33,0.1051,"5/20/19; top of hill, otter pond, GL&EE",GC SC EE,20191024
Allium falcifolium,Allfal,NA,NA,NA,2,24,0.1008,"5/20/19; top of hill, otter pond, GL&EE",GC SC EE,20191024
Allium falcifolium,Allfal,NA,NA,NA,3,25,0.1228,"5/20/19; top of hill, otter pond, GL&EE",GC SC EE,20191024
Allium falcifolium,Allfal,NA,NA,NA,4,53,0.2135,"5/20/19; top of hill, otter pond, GL&EE",GC SC EE,20191028
Allium falcifolium,Allfal,NA,NA,NA,5,6,0.0239,"5/20/19; top of hill, otter pond, GL&EE",GC SC EE,20191028
Allium falcifolium,Allfal,NA,NA,NA,6,6,0.022,"5/20/19; top of hill, otter pond, GL&EE",GC SC EE,20191028
Anagallis arvensis,Anaarv,NA,NA,NA,1,89,0.0386,6/15/19; EE&LP; Kathy's House,GC SC,20191028
Anagallis arvensis,Anaarv,NA,NA,NA,2,118,0.0458,6/15/19; EE&LP; Kathy's House,GC SC,20191028
Anagallis arvensis,Anaarv,NA,NA,NA,3,93,0.0412,6/15/19; EE&LP; Kathy's House,GC SC,20191028
Anagallis arvensis,Anaarv,NA,NA,NA,4,143,0.0562,6/15/19; EE&LP; Kathy's House,GC SC,20191028
Anagallis arvensis,Anaarv,NA,NA,NA,5,71,0.0342,6/15/19; EE&LP; Kathy's House,GC SC,20191028
Brodiaea elegans,Broele,NA,NA,NA,1,27,0.0884,6/15/19; EE&LP,GC SC,20191028
Brodiaea elegans,Broele,NA,NA,NA,2,69,0.1489,6/15/19; EE&LP,GC SC,20191028
Brodiaea elegans,Broele,NA,NA,NA,3,38,0.0692,6/15/19; EE&LP,GC SC,20191028
Brodiaea elegans,Broele,NA,NA,NA,4,38,0.0896,6/15/19; EE&LP,GC SC,20191028
Brodiaea elegans,Broele,NA,NA,NA,5,23,0.0429,6/15/19; EE&LP,GC SC,20191028
Fritillaria purdyi,Fripur,NA,NA,NA,1,8,0.036,5/30/19; by pond,GC SC,20191104
Fritillaria purdyi,Fripur,NA,NA,NA,2,40,0.1561,5/30/19; by pond,GC SC,20191104
Fritillaria purdyi,Fripur,NA,NA,NA,3,31,0.1677,5/30/19; by pond,GC SC,20191104
Fritillaria purdyi,Fripur,NA,NA,NA,4,45,0.1997,5/30/19; by pond,GC SC,20191104
Fritillaria purdyi,Fripur,NA,NA,NA,5,25,0.1155,5/30/19; by pond,GC SC,20191104
Galium aparine,Galapa,NA,NA,NA,1,14,0.0416,5/20/19; GL+EE,GC SC,20191104
Galium aparine,Galapa,NA,NA,NA,2,11,0.0374,5/20/19; GL+EE,GC SC,20191104
Galium aparine,Galapa,NA,NA,NA,3,8,0.026,5/20/19; GL+EE,GC SC,20191104
Galium aparine,Galapa,NA,NA,NA,4,15,0.0584,5/20/19; GL+EE,GC SC,20191104
Galium aparine,Galapa,NA,NA,NA,5,27,0.0736,5/20/19; GL+EE,GC SC,20191104
Galium aparine,Galapa,NA,NA,NA,1,191,0.0268,"6/29/19; EE&MC; seeds a lot smaller than previous bag of galapa, similar size to galmur",GC SC,20191104
Galium aparine,Galapa,NA,NA,NA,2,226,0.0336,"6/29/19; EE&MC; seeds a lot smaller than previous bag of galapa, similar size to galmur",GC SC,20191104
Galium aparine,Galapa,NA,NA,NA,3,43,0.0072,"6/29/19; EE&MC; seeds a lot smaller than previous bag of galapa, similar size to galmur",GC SC,20191104
Galium aparine,Galapa,NA,NA,NA,4,82,0.0122,"6/29/19; EE&MC; seeds a lot smaller than previous bag of galapa, similar size to galmur",GC SC,20191104
Galium aparine,Galapa,NA,NA,NA,5,388,0.0639,"6/29/19; EE&MC; seeds a lot smaller than previous bag of galapa, similar size to galmur",GC SC,20191104
Galium murale,Galmur,NA,NA,NA,1,15,0.0031,6/29/19; EE&MC,GC SC,20191104
Galium murale,Galmur,NA,NA,NA,2,11,0.0011,6/29/19; EE&MC,GC SC,20191104
Galium murale,Galmur,NA,NA,NA,3,28,0.0045,6/29/19; EE&MC,GC SC,20191104
Galium murale,Galmur,NA,NA,NA,4,30,0.0031,6/29/19; EE&MC,GC SC,20191104
Galium murale,Galmur,NA,NA,NA,5,33,0.0048,6/29/19; EE&MC,GC SC,20191104
Hypochaeris glabra,Hypgla,NA,NA,NA,1,30,0.0346,5/20/19; EE&GL,GC SC,20191104
Hypochaeris glabra,Hypgla,NA,NA,NA,2,25,0.0154,5/20/19; EE&GL,GC SC,20191104
Hypochaeris glabra,Hypgla,NA,NA,NA,3,43,0.0413,5/20/19; EE&GL,GC SC,20191104
Hypochaeris glabra,Hypgla,NA,NA,NA,4,25,0.0157,5/20/19; EE&GL,GC SC,20191104
Hypochaeris glabra,Hypgla,NA,NA,NA,5,15,0.0127,5/20/19; EE&GL,GC SC,20191104
Lagophylla minor,Lagmin,NA,NA,NA,1,12,0.0044,"6/29/19; EE&MC; ""Lagmin 2""; bags labeled ""Lagmin 2"" tended to contain more seeds than the bags labelled ""lagmin""",GC SC,20191106
Lagophylla minor,Lagmin,NA,NA,NA,2,9,0.002,"6/29/19; EE&MC; ""Lagmin 2""; bags labeled ""Lagmin 2"" tended to contain more seeds than the bags labelled ""lagmin""",GC SC,20191106
Lagophylla minor,Lagmin,NA,NA,NA,3,6,0.0016,"6/29/19; EE&MC; ""Lagmin 2""; bags labeled ""Lagmin 2"" tended to contain more seeds than the bags labelled ""lagmin""",GC SC,20191106
Lagophylla minor,Lagmin,NA,NA,NA,4,23,0.0048,"6/29/19; EE&MC; ""Lagmin 2""; bags labeled ""Lagmin 2"" tended to contain more seeds than the bags labelled ""lagmin""",GC SC,20191106
Lagophylla minor,Lagmin,NA,NA,NA,5,13,0.0023,"6/29/19; EE&MC; ""Lagmin 2""; bags labeled ""Lagmin 2"" tended to contain more seeds than the bags labelled ""lagmin""",GC SC,20191106
Lactuca serriola,Lacser,NA,NA,NA,1,33,0.0189,7/21/19; EE,GC SC,20191106
Lactuca serriola,Lacser,NA,NA,NA,2,24,0.0119,7/21/19; EE,GC SC,20191106
Lactuca serriola,Lacser,NA,NA,NA,3,16,0.0062,7/21/19; EE,GC SC,20191106
Lactuca serriola,Lacser,NA,NA,NA,4,5,0.0033,7/21/19; EE,GC SC,20191106
Lactuca serriola,Lacser,NA,NA,NA,5,11,0.0063,7/21/19; EE,GC SC,20191106
Lomatium marginatum,Lommar,NA,NA,NA,1,13,0.1144,5/20/19; EE; check herb notes,GC SC,20191106
Lomatium marginatum,Lommar,NA,NA,NA,2,5,0.0323,5/20/19; EE; check herb notes,GC SC,20191106
Lomatium marginatum,Lommar,NA,NA,NA,3,11,0.0765,5/20/19; EE; check herb notes,GC SC,20191106
Lomatium marginatum,Lommar,NA,NA,NA,4,14,0.0798,5/20/19; EE; check herb notes,GC SC,20191106
Lomatium marginatum,Lommar,NA,NA,NA,5,10,0.0648,5/20/19; EE; check herb notes,GC SC,20191106
Lotus humistratus,Lothum,NA,NA,NA,1,5,0.0099,6/15/19; Lot WRA allfal GPS,GC SC,20191106
Lotus humistratus,Lothum,NA,NA,NA,2,4,0.0178,6/15/19; Lot WRA allfal GPS,GC SC,20191106
Lotus humistratus,Lothum,NA,NA,NA,3,7,0.0278,6/15/19; Lot WRA allfal GPS,GC SC,20191106
Lotus humistratus,Lothum,NA,NA,NA,4,3,0.0115,6/15/19; Lot WRA allfal GPS,GC SC,20191106
Lotus humistratus,Lothum,NA,NA,NA,5,6,0.0165,6/15/19; Lot WRA allfal GPS,GC SC,20191106
Medicago polymorpha,Medpol,NA,NA,NA,1,5,0.0183,5/20/19; Kathy's House; EE&LP,GC SC,20191106
Medicago polymorpha,Medpol,NA,NA,NA,2,21,0.056,5/20/19; Kathy's House; EE&LP,GC SC,20191106
Medicago polymorpha,Medpol,NA,NA,NA,3,16,0.0507,5/20/19; Kathy's House; EE&LP,GC SC,20191106
Medicago polymorpha,Medpol,NA,NA,NA,4,9,0.0314,5/20/19; Kathy's House; EE&LP,GC SC,20191106
Medicago polymorpha,Medpol,NA,NA,NA,5,19,0.0696,"5/20/19; Kathy's House; EE&LP; extra seed found in envelope, unknown species",GC SC,20191106
Linanthus bicolor,Linbic,NA,NA,NA,1,2,0.0027,"5/10/19; EE+GL; 5 mother families bulked, somewhat green, 1-2 seeds/plant",GC SC,20191106
Rigiopappus leptocladus,RipLep,NA,NA,NA,1,13,0.0118,5/10/19 GL + EE ,GC SC,20191107
Rigiopappus leptocladus,RipLep,NA,NA,NA,2,48,0.0232,5/10/19 GL + EE,GC SC,20191107
Sidalcea diploscypha,SidDip,NA,NA,NA,1,5,0.0295,6/15/19 EE+LP,GC SC,20191107
Sidalcea diploscypha,SidDip,NA,NA,NA,2,10,0.064,6/15/19 EE+LP,GC SC,20191107
Sidalcea diploscypha,SidDip,NA,NA,NA,3,10,0.0544,6/15/19 EE+LP,GC SC,20191107
Sidalcea diploscypha,SidDip,NA,NA,NA,4,2,0.0103,6/15/19 EE+LP,GC SC,20191107
Sidalcea diploscypha,SidDip,NA,NA,NA,5,9,0.0327,6/15/19 EE+LP,GC SC,20191107
Thysanocarpus curvipes,Thycur,NA,NA,NA,1,20,0.0296,5/2/19 GL+EE,GC SC,20191107
Thysanocarpus curvipes,Thycur,NA,NA,NA,2,41,0.0643,5/2/19 GL+EE,GC SC,20191107
Thysanocarpus curvipes,Thycur,NA,NA,NA,3,18,0.0341,5/2/19 GL+EE,GC SC,20191107
Trifolium fucatum,Trifuc,NA,NA,NA,1,9,0.0521,5/10/19 GL+EE,GC SC,20191107
Microseris douglasii,Micdou,NA,NA,NA,1,19,0.0479,"5/2/19 Top off hill, east line 5",GC SC,20191107
Microseris douglasii,Micdou,NA,NA,NA,2,11,0.021,"5/2/19 Top off hill, east line 6",GC SC,20191107
Microseris douglasii,Micdou,NA,NA,NA,3,7,0.0216,"5/2/19 Top off hill, east line 7",GC SC,20191107
Microseris douglasii,Micdou,NA,NA,NA,4,18,0.0567,"5/2/19 Top off hill, east line 8",GC SC,20191107
Microseris douglasii,Micdou,NA,NA,NA,5,13,0.035,"5/2/19 Top off hill, east line 9",GC SC,20191107
Mimulus douglassi,Mimdou,NA,NA,NA,1,24,0.0716,"5/2/19 Grace and Elise, BULKED seeds because too tiny by themselves",GC SC,20191107
Mimulus guttatus,Mimgut,NA,NA,NA,1,100,0.002613,6/15/19 Kathy's House EE+LP,GC SC,20191107
Mimulus guttatus,Mimgut,NA,NA,NA,2,100,0.00828,6/15/19 Kathy's House EE+LP,GC SC,20191107
Mimulus guttatus,Mimgut,NA,NA,NA,3,100,0.002916,6/15/19 Kathy's House EE+LP,GC SC,20191107
Mimulus guttatus,Mimgut,NA,NA,NA,4,100,0.001742,6/15/19 Kathy's House EE+LP,GC SC,20191107
Mimulus guttatus,Mimgut,NA,NA,NA,5,100,0.003054,6/15/19 Kathy's House EE+LP,GC SC,20191107
Trifolium fucatum,Trifuc,NA,NA,NA,2,14,0.0426,5/10/19 GL+EE,GC SC,20191113
Trifolium fucatum,Trifuc,NA,NA,NA,3,5,0.0297,5/10/19 GL+EE,GC SC,20191113
Trifolium fucatum,Trifuc,NA,NA,NA,4,12,0.0856,5/10/19 GL+EE,GC SC,20191113
Trifolium fucatum,Trifuc,NA,NA,NA,5,36,0.2202,5/10/19 GL+EE,GC SC,20191113
Sisyrinchium bellum,Sisbel,NA,NA,NA,1,14,0.0446,6/15/19 EE+LP,GC SC,20191113
Sisyrinchium bellum,Sisbel,NA,NA,NA,2,41,0.1174,6/15/19 EE+LP,GC SC,20191113
Sisyrinchium bellum,Sisbel,NA,NA,NA,3,32,0.0868,6/15/19 EE+LP,GC SC,20191113
Sisyrinchium bellum,Sisbel,NA,NA,NA,4,18,0.0481,6/15/19 EE+LP,GC SC,20191113
Sisyrinchium bellum,Sisbel,NA,NA,NA,5,10,0.0391,6/15/19 EE+LP,GC SC,20191113
Triwil,NA,NA,NA,NA,1,21,0.0553,5/20/19 GL+EE,GC SC,20191114
Triwil,NA,NA,NA,NA,2,11,0.0185,5/20/19 GL+EE,GC SC,20191114
Triwil,NA,NA,NA,NA,3,11,0.023,5/20/19 GL+EE,GC SC,20191114
Triwil,NA,NA,NA,NA,4,35,0.0806,5/20/19 GL+EE,GC SC,20191114
Triwil,NA,NA,NA,NA,5,13,0.0312,5/20/19 GL+EE,GC SC,20191114
Plantago erecta,Plaere,NA,NA,NA,1,6,0.0106,5/10/19 EE+GL,GC SC,20191114
Plantago erecta,Plaere,NA,NA,NA,2,14,0.0165,5/10/19 EE+GL,GC SC,20191114
Plantago erecta,Plaere,NA,NA,NA,3,22,0.045,5/10/19 EE+GL,GC SC,20191114
Plantago erecta,Plaere,NA,NA,NA,4,18,0.0303,5/10/19 EE+GL,GC SC,20191114
Vulpia myuros,Vulmyu,NA,NA,NA,1,145,0.0714,"5/20/19 GC+EE, Hill by Kathy's House",GC SC,20191114
Vulpia myuros,Vulmyu,NA,NA,NA,2,44,0.0215,"5/20/19 GC+EE, Hill by Kathy's House",GC SC,20191114
Vulpia myuros,Vulmyu,NA,NA,NA,3,89,0.047,"5/20/19 GC+EE, Hill by Kathy's House",GC SC,20191114
Vulpia myuros,Vulmyu,NA,NA,NA,4,16,0.0134,"5/20/19 GC+EE, Hill by Kathy's House",GC SC,20191114
Vulpia myuros,Vulmyu,NA,NA,NA,5,126,0.0668,"5/20/19 GC+EE, Hill by Kathy's House",GC SC,20191114
Viola douglasii,Viodou,NA,NA,NA,1,8,0.0508,5/20/10 GL+EE,GC SC,20191114
Viola douglasii,Viodou,NA,NA,NA,2,10,0.0400,5/20/10 GL+EE,GC SC,20191114
Viola douglasii,Viodou,NA,NA,NA,3,9,0.0512,5/20/10 GL+EE,GC SC,20191114
Viola douglasii,Viodou,NA,NA,NA,4,4,0.0159,5/20/10 GL+EE,GC SC,20191114
Vulpia microstachys,Vulmic,NA,NA,NA,1,24,0.0224,5/10/19 Elise and Grace; Top of Hill,GC SC,20191114
Vulpia microstachys,Vulmic,NA,NA,NA,2,25,0.0233,5/10/19 Elise and Grace; Top of Hill,GC SC,20191118
Vulpia microstachys,Vulmic,NA,NA,NA,3,19,0.0093,5/10/19 Elise and Grace; Top of Hill,GC SC,20191118
Vulpia microstachys,Vulmic,NA,NA,NA,4,21,0.0209,5/10/19 Elise and Grace; Top of Hill,GC SC,20191118
Vulpia microstachys,Vulmic,NA,NA,NA,5,10,0.0091,5/10/19 Elise and Grace; Top of Hill,GC SC,20191118
Zigadenus fremontii,Zigfre,NA,NA,NA,1,6,0.0354,6/15/2019 EE&LP *big seeds counted*,GC SC,20191118
Zigadenus fremontii,Zigfre,NA,NA,NA,2,20,0.1675,5/20/2019 m.f.a EE *big seeds counted*,GC SC,20191118
Zigadenus fremontii,Zigfre,NA,NA,NA,3,4,0.0218,6/15/2019 EE&LP *big seeds counted*,GC SC,20191118
Zigadenus fremontii,Zigfre,NA,NA,NA,4,15,0.1327,6/15/2019 m.f.a EE *big seeds counted*,GC SC,20191118
Zigadenus fremontii,Zigfre,NA,NA,NA,5,21,0.1162,6/15/2019 EE&LP *big seeds counted*,GC SC,20191118
Calandrinia cilata,Calcil,NA,NA,NA,1,56,0.0139,5/10/19 EE+GL,GC SC,20191118
Calandrinia cilata,Calcil,NA,NA,NA,BULKed,8,0.0026,5/10/19 EE+GL BULKED,GC SC,20191118
Bromus hordeaceus,Brohor,NA,NA,NA,1,50,0.1077,5/20/19 GL+EE; On path by otter pond,GC SC,20191118
Bromus hordeaceus,Brohor,NA,NA,NA,2,19,0.0298,5/20/19 GL+EE; On path by otter pond,GC SC,20191118
Bromus hordeaceus,Brohor,NA,NA,NA,3,15,0.0348,5/20/19 GL+EE; On path by otter pond,GC SC,20191118
Bromus hordeaceus,Brohor,NA,NA,NA,4,10,0.0182,5/20/19 GL+EE; On path by otter pond,GC SC,20191118
Bromus hordeaceus,Brohor,NA,NA,NA,5,39,0.0738,5/20/19 GL+EE; On path by otter pond,GC SC,20191118
Chaenactis glabriuscula,Chagla,NA,NA,NA,1,14,0.0116,5/20/19 EE+GL,GC SC,20191118
Chaenactis glabriuscula,Chagla,NA,NA,NA,2,24,0.0112,5/20/19 EE+GL,GC SC,20191118
Chaenactis glabriuscula,Chagla,NA,NA,NA,3,18,0.0105,5/20/19 EE+GL,GC SC,20191121
Chaenactis glabriuscula,Chagla,NA,NA,NA,4,36,0.017,5/20/19 EE+GL,GC SC,20191121
