in.hand,Cleaned,use?,dispersule,seeds.per.disp,morphological unit,chemical unit,Species,species.alt,code,accept.code,family,group,nat.inv,year,germ.perc,dorm.perc,seed.mass.1000,tot.wgt.g,n.seeds,lat,long,ele.m,Location.Notes,orig.acc,site,ID,type,seedling.traits.ashley,mega.comp,notes
y,y,both,,1,nutlet,nutlet,Cryptantha micrantha,,CRYMIC,CRMI,Boraginaceae,forb,native,1998,91.4,,,0.048,600,33.65655,-115.80227,457,,19947,CBG,CBG-19947,wild,,,not enough of this species for phosphorus
y,y,chem,,1,nutlet,nutlet,Cryptantha micrantha,,CRYMIC,CRMI,Boraginaceae,forb,native,2005,0,,,0.00025,27,34.46286,-117.8198,1158,,21656,CBG,CBG-21656,wild,,,not enough of this species for phosphorus
y,y,both,,1,nutlet,nutlet,Cryptantha muricata,,CRYMUR,CRMU2,Boraginaceae,forb,native,1996,,,,0.168,600,33.31805,-116.74555,1265,,19168,CBG,CBG-19168,wild,,,
y,y,both,,1,nutlet,nutlet,Cryptantha nevadensis var. rigida,,CRYNEVR,CRNER,Boraginaceae,forb,native,2016,82,,,0.2237,456.5,35.80835,-115.9604,1096,,24470,CBG,CBG-24470,wild,,,
y,y,both,,1,nutlet,nutlet,Cryptantha pterocarya,,CRYPTE,CRPT,Boraginaceae,forb,native,2003,88,,,0.1498,416.1,34.43333,-117.58666,1250,,21041,CBG,CBG-21041,wild,,,
y,y,both,,1,seed,seed,Cucurbita palmata,Cucurbita californica,CUCPAL,CUPA,Cucurbitaceae,forb,native,2020,0,,,25.06855127,347,33.64655,-115.84338,420,,25902,CBG,CBG-25902,wild,,,
y,y,both,y,1,floret,caryopsis,Cynosurus echinatus,,CYNECH,CYEC,Poaceae,grass,invasive,2021,,,,0.32,,39.25693242,-121.3115828,287,,,SFREC,SFREC-15,wild,,,
y,y,both,,1,mericarp,seed,Daucus pusillus,,DAUPUS,DAPU3,Apiaceae,forb,native,2010,74,47,0.8,0.48,200,32.33343333,-112.7886833,500,,Ames 30663,GRIN,GRIN-Ames-30663,wild,,,
y,y,both,,1,achene,achene,Deinandra fasciculata,Hemizonia fasciculata,DEIFAS,HEFA,Asteraceae,forb,native,2016,84.6,,,0.119086066,196,34.10444,-118.73132,323,,24538,CBG,CBG-24538,wild,,,
y,y,both,,1,floret,floret,Deschampsia danthonioides,,DESDAN,DEDA,Poaceae,grass,native,2003,,,,0.169602642,1000,32.89794,-118.48631,480,,21098,CBG,CBG-21098,wild,,,
y,y,both,,1,seed,seed,Descurainia pinnata,,DESPIN,DEPI,Brassicaceae,forb,native,2020,,,,0.0959,,35.12182297,-119.7248455,,,,CP,CP-13,wild,,,
y,y,both,,1,seed,seed,Diplacus bigelovii,Mimulus bigelovii,DIPBIG,MIBI6,Phrymaceae,forb,native,2017,0,,,0.16129114,10700,33.5114,-116.2221,252,,24818,CBG,CBG-24818,wild,,,
y,y,both,,1,seed,seed,Draba cuneifolia,,DRACUN,DRCU,Brassicaceae,forb,native,2012,,,,0.16,,32.22343277,-111.0102093,725,collection location estimate (tumamoc hill),,SD,SD-3,wild,,,
y,y,both,,1,seed,seed,Dysphania ambrosioides,,DYSAMB,DYAM,Chenopodiaceae,forb,invasive,1994,,,0.232,0.08,400,NA,NA,NA,,PI 612852,GRIN,GRIN-PI-612852,cultivated,,,
y,y,chem,,1,seed,seed,Dysphania ambrosioides,,DYSAMB,DYAM,Chenopodiaceae,forb,invasive,1994,,,0.232,0.08,400,NA,NA,NA,,PI 612853,GRIN,GRIN-PI-612853,cultivated,,,
y,y,both,y,1,floret,caryopsis,Elymus caput-medusae,Taeniatherum caput-medusae,ELYCAP,TACA8,Poaceae,grass,invasive,2021,,,,0.41,,39.25693242,-121.3115828,287,,,SFREC,SFREC-19,wild,,x,
y,y,both,,1,seed,seed,Emmenanthe penduliflora,,EMMPEN,EMPE,Boraginaceae,forb,native,2016,98,,,0.287651248,600,34.1038,-118.7315,329,,24539,CBG,CBG-24539,wild,,,
y,y,both,,1,seed,seed,Emmenanthe penduliflora var. penduliflora,,EMMPENP,EMPEP,Boraginaceae,forb,native,2014,100,,,0.317994394,600,34.1905,-116.47905,1161,,23928,CBG,CBG-23928,wild,,,
y,y,both,,1,seed,seed,Epilobium brachycarpum,,EPIBRA,EPBR3,Onagraceae,forb,native,2005,97.9,,,0.1149,600,34.11246,-117.7147,413,,21768,CBG,CBG-21768,wild,,,
y,y,both,,1,seed,seed,Eremothera boothii,Camissonia boothii,EREBOO,CABO7,Onagraceae,forb,native,2011,20.8,,,0.216,1200,34.27334,-116.46411,1128,,23457,CBG,CBG-23457,wild,,,
y,y,both,,1,seed,seed,Eriastrum diffusum,,ERIDIF,ERDI2,Polemoniaceae,forb,native,2015,,,,0.2783,,32.22343277,-111.0102093,725,collection location estimate (tumamoc hill),,SD,SD-5,wild,,,
y,y,both,,1,seed,seed,Eriastrum eremicum,,ERIERE,ERER2,Polemoniaceae,forb,native,2015,,,,0.0457,,33.23936,-116.391941,215,,,DW,DW-09,wild,,,
y,y,both,,1,seed,seed,Eriastrum sapphirinum,,ERISAP,ERSA,Polemoniaceae,forb,native,2003,100,,,0.218978238,1200,34.10741,-117.7013,427,,21164,CBG,CBG-21164,wild,,,
y,y,both,,1,achene,achene,Eriogonum gracillimum,,ERIGRA,ERGR6,Polygonaceae,forb,native,2020,,,,0.0453,,35.12182297,-119.7248455,,,,CP,CP-14,wild,,,
y,y,both,,1,achene,achene,Eriogonum parishii,,ERIPAR,ERPA6,Polygonaceae,forb,native,2003,12,,,0.287496958,1250,34.17583,-116.87805,1890,,21262,CBG,CBG-21262,wild,,,
y,y,both,,1,achene,achene,Eriogonum pharnaceoides,,ERIPHA,ERPH2,Polygonaceae,forb,native,2010,92,,,0.18,200,35.10580556,-111.538,2202,,W6 40753,GRIN,GRIN-W6-40753,wild,,,NOT collected in an aridland; collected before 2010
y,y,both,,1,achene + pappus,achene + pappus,Eriophyllum lanosum,Antheropeas lanosum,ERILAN,ANLA7,Asteraceae,forb,native,2015,,,,0.17,,32.22343277,-111.0102093,725,collection location estimate (tumamoc hill),,SD,SD-6,wild,,,
y,y,chem,,1,achene + pappus,achene + pappus,Eriophyllum wallacei,riophyllum aureum,ERIWAL,ANWA,Asteraceae,forb,native,2001,22,,,0.032235811,600,34.25205,-115.72051,699,,20686,CBG,CBG-20686,wild,,,not enough of this species for phosphorus
y,y,chem,,1,achene + pappus,achene + pappus,Eriophyllum wallacei,riophyllum aureum,ERIWAL,ANWA,Asteraceae,forb,native,2005,8,,,0.0277,277,34.27913,-117.4759,885,,21669,CBG,CBG-21669,wild,,,not enough of this species for phosphorus
y,y,both,,1,achene + pappus,achene + pappus,Eriophyllum wallacei,riophyllum aureum,ERIWAL,ANWA,Asteraceae,forb,native,2005,40.8,,,0.029048013,121,34.46286,-117.8198,1158,,21654,CBG,CBG-21654,wild,,,not enough of this species for phosphorus
y,y,both,y,1,mericarp,seed,Erodium botrys,,EROBOT,ERBO,Geraniaceae,forb,invasive,2021,,,,0.63,,39.26820705,-121.3030999,417,,,SFREC,SFREC-7,wild,,x,
y,y,both,y,1,mericarp,seed,Erodium cicutarium,,EROCIC,ERCI6,Geraniaceae,forb,invasive,2021,,,,0.3,,34.01680584,-116.6278051,748,Mission creek,,MD,MD-6,wild,,,
y,y,both,y,1,mericarp,seed,Erodium texanum,,EROTEX,ERTE13,Geraniaceae,forb,native,2015,,,,0.36,,32.22343277,-111.0102093,725,collection location estimate (tumamoc hill),,SD,SD-7,wild,,,
y,y,both,,1,seed,seed,Erysimum repandum,,ERYREP,ERRE4,Brassicaceae,forb,invasive,1998,95,,0.26,0.1007,600,NA,NA,NA,No info,PI 633236,GRIN,GRIN-PI-633236,wild,,,collected before 1998
y,y,both,,1,seed,seed,Erythranthe guttata,Mimulus guttatus,ERYGUT,MIGU,Phrymaceae,forb,native,2015,,,,0.2238,,38.85872146,-122.4099015,636,location approximate,,MCL-ML,MCL-ML-27,wild,,,
y,y,morph,,1,seed,seed,Eschscholzia californica,,ESCCAL,ESCA2,Papaveraceae,forb,native,2003,4,,,0.414889885,600,33.63755,-117.07452,553,,21071,CBG,CBG-21071,wild,,,
y,y,chem,,1,seed,seed,Eschscholzia californica,,ESCCAL,ESCA2,Papaveraceae,forb,native,2020,90,,,,,34.31451204,-118.9662452,250,Rancho de los flores; cultivation site,,SS,SS-17,cultivated,,,
y,y,both,,1,seed,seed,Eschscholzia glyptosperma,,ESCGLY,ESGL,Papaveraceae,forb,native,2001,2,,,0.127809216,248,34.25205,-115.72051,699,,20684,CBG,CBG-20684,wild,,,
y,y,both,,1,seed,seed,Eschscholzia minutiflora,,ESCMIN,ESMI,Papaveraceae,forb,native,2013,0,,,0.353981142,600,34.36555,-114.28063,243,,23612,CBG,CBG-23612,wild,,,
y,y,both,,1,seed,seed,Eucrypta chrysanthemifolia,,EUCCHR,EUCH,Boraginaceae,forb,native,2003,0,,,0.1732,333,33.86277,-117.01,585,,21069,CBG,CBG-21069,wild,,,
y,y,both,,1,seed,seed,Eucrypta micrantha,,EUCMIC,EUMI2,Hydrophyllaceae,forb,native,2015,,,,0.19,,32.22343277,-111.0102093,725,collection location estimate (tumamoc hill),,SD,SD-9,wild,,,
y,y,both,,1,seed,seed,Eulobus californicus,Camissonia californica,EULCAL,CACA32,Onagraceae,forb,native,1996,79,,,0.137993997,600,34.0945,-118.64867,388,,22353,CBG,CBG-22353,wild,,,
y,y,both,,1,seed,seed,Euphorbia crenulata,,EUPCRE,EUCR2,Euphorbiaceae,forb,native,2021,,,,0.039,52,38.87058258,-122.4273523,673,,,MCL-ML,MCL-ML-34,wild,,,
y,y,both,,1,achene,achene,Evax multicaulis,Evax verna var. verna,EVAMUL,EVVEV,Asteraceae,forb,native,2016,,,,0.1169,,32.22343277,-111.0102093,725,collection location estimate (tumamoc hill),,SD,SD-10,wild,,,
y,y,both,y,1,floret,caryopsis,Festuca microstachys,Vulpia microstachys,FESMIC,VUMIM,Poaceae,grass,native,2021,,,,0.23,,38.87244585,-122.4271412,662,S ridge watering Exp NS,,MCL-ML,MCL-ML-20,wild,,,
y,y,both,y,1,floret,caryopsis,Festuca myuros,Vulpia myuros,FESMYU,VUMY,Poaceae,grass,invasive,2021,,,,0.21,,39.2473973,-121.3144869,216,location estimate,,SFREC,SFREC-8,wild,,,
y,y,both,y,1,floret,caryopsis,Festuca octoflora,Vulpia octoflora,FESOCT,VUOCO,Poaceae,grass,native,2015,,,,0.1484,,32.22343277,-111.0102093,725,collection location estimate (tumamoc hill),,SD,SD-11,wild,,,
y,y,both,y,1,floret,caryopsis,Festuca perennis,Lolium multiflorum,FESPER,LOPEM2,Poaceae,grass,invasive,2021,,,,0.4416,,39.24872381,-121.315312,193,,,SFREC,SFREC-9,wild,,,
y,y,both,,1,nutlet,nutlet,Galium murale,,GALMUR,GAMU4,Rubiaceae,forb,invasive,2021,,,,0.19,,38.86457044,-122.4285193,661,Tailings pond,,MCL-ML,MCL-ML-33,wild,,,
y,y,both,,1,floret,floret,Gastridium ventricosum,Gastridium phleoides,GASVEN,GAPH2,Poaceae,grass,invasive,2015,,,,0.2441,,38.86147984,-122.405158,652,location approximate,,MCL-ML,MCL-ML-5,wild,,,
y,y,both,,1,achene + pappus,achene + pappus,Geraea canescens,,GERCAN,GECA2,Asteraceae,forb,native,2017,22,,,0.8821,512.8,33.87157,-116.44117,394,,24794,CBG,CBG-24794,wild,,,
y,y,both,,1,seed,seed,Geranium dissectum,,GERDIS,GEDI,Geraniaceae,forb,invasive,2021,,,,2.7086,,39.28585175,-121.2921956,493,,,SFREC,SFREC-13,wild,,,
y,y,both,,1,seed,seed,Gilia angelensis,,GILANG,GIAN,Polemoniaceae,forb,native,2003,79.6,,,0.168097151,600,33.86388,-117.00888,585,,21065,CBG,CBG-21065,wild,,,
y,y,both,,1,seed,seed,Gilia capitata,,GILCAP,GICA5,Polemoniaceae,forb,native,2016,,,,0.2906,,38.87036085,-122.4277015,675,location approximate,,MCL-ML,MCL-ML-9,wild,,,
y,y,both,,1,seed,seed,Gilia latiflora ssp. davyi,,GILLATD,GILAD,Polemoniaceae,forb,native,2004,0,,,0.181078031,900,34.6238,-117.82661,803,,21612,CBG,CBG-21612,wild,,,
y,y,chem,,1,seed,seed,Gilia tricolor,,GILTRI,GITR2,Polemoniaceae,forb,native,2020,97,,,,,34.31451204,-118.9662452,250,Rancho de los flores; cultivation site,,SS,SS-22,cultivated,,x,
y,y,morph,,1,seed,seed,Gilia tricolor,,GILTRI,GITR2,Polemoniaceae,forb,native,2016,,,,0.0722,,NA,NA,NA,,,MCL-EE,MCL-EE-29,wild,x,,check notes on bag for location estimate
y,y,both,,1,seed,seed,Gossypium hirsutum,,GOSHIR,GOHI,Malvaceae,forb,invasive,2005,,,,4.07,50,NA,NA,NA,,PI 641928,GRIN,GRIN-PI-641928,cultivated,,,
y,y,morph,,1,seed,seed,Gossypium hirsutum,,GOSHIR,GOHI,Malvaceae,forb,invasive,2005,,,,4.49,50,NA,NA,NA,,PI 641929,GRIN,GRIN-PI-641929,cultivated,,,
y,y,morph,,1,seed,seed,Gossypium hirsutum,,GOSHIR,GOHI,Malvaceae,forb,invasive,2005,,,,3.9,50,NA,NA,NA,,PI 641930,GRIN,GRIN-PI-641930,cultivated,,,
y,y,both,,1,achene,achene,Helianthus annuus,,HELANN,HEAN3,Asteraceae,forb,native,2018,52,,,1.62,,NA,NA,NA,"collected from various locations in Riverside, San Diego, and Orange Counties",,SS,SS-23,wild,,,
y,y,both,,1,achene,achene,Helianthus deserticola,,HELDES,HEAN4,Asteraceae,forb,native,2015,76,64,,0.29,100,36.89530296,-111.394378,1309,,Ames 32935,GRIN,GRIN-Ames-32935,wild,,,
y,y,both,,1,achene + pappus,achene + pappus,Helianthus niveus,,HELNIV,HENI3,Asteraceae,forb,native,2005,78,38,2.9,0.56,200,32.3825,-114.4272222,122,,PI 650016,GRIN,GRIN-PI-650016,wild,,,
y,y,both,,1,achene,achene,Helianthus niveus ssp. canescens,,HELNIVC,HENIC,Asteraceae,forb,native,2005,92,60,1.4168,0.21,100,32.10138889,-113.4511111,213,,PI 649905,GRIN,GRIN-PI-649905,wild,,,
y,y,both,,1,achene,achene,Helianthus petiolaris ssp. fallax,,HELPETF,HEPEF,Asteraceae,forb,native,2015,100,87,2.3,0.23,100,34.917,-111.9098,1445,,PI 695660,GRIN,GRIN-PI-695660,wild,,,
y,y,both,,1,achene,achene,Heliomeris longifolia var. annua,,HELLONA,HELOA2,Asteraceae,forb,native,2007,47,,0.5268,0.10536,200,34.205,-112.10889,1070,,W6 35203,GRIN,GRIN-W6-35203,wild,,,
y,y,both,,1,achene,achene,Hemizonia congesta,,HEMCON,HECO7,Asteraceae,forb,native,2017,,,,0.34,,38.87122784,-122.4273322,664,Location estimate,,MCL-ML,MCL-ML-15,wild,,,
y,y,both,,1,seed,seed,Herniaria hirsuta,,HERHIR,HEHI7,Brassicaceae,forb,invasive,2019,,,,0.0033,38,35.12182297,-119.7248455,,,,CP,CP-15,wild,,,
y,y,both,,1,achene,achene,Hesperocnide tenella,,HESTEN,HETE5,Urticaceae,forb,native,2010,92.3,,,0.237998097,1700,39.34613,-121.51446,42,,23109,CBG,CBG-23109,wild,,,
y,y,both,y,1,achene + pappus,achene,Heterotheca sessiliflora,,HETSES,HESE,Asteraceae,forb,native,1999,66,,,0.395984148,600,34.21967,-117.70925,1341,,20351,CBG,CBG-20351,wild,,,
y,y,both,,1,achene,achene,Holocarpha virgata,,HOLVIR,HOVI,Asteraceae,forb,native,2014,,,,0.4255,200,38.86101141,-122.4105245,635,location approximate,,MCL-ML,MCL-ML-3a,wild,,,morph 1
y,y,both,,1,achene,achene,Holocarpha virgata,,HOLVIR,HOVI,Asteraceae,forb,native,2014,,,,0.22945,130,38.86101141,-122.4105245,635,location approximate,,MCL-ML,MCL-ML-3b,wild,,,morph 2
y,y,both,y,1,floret,caryopsis,Hordeum intercedens,,HORINT,HOIN2,Poaceae,grass,native,2020,93,,,0.69,,34.31451204,-118.9662452,250,Rancho de los flores; cultivation site,,SS,SS-24,cultivated,,,
y,y,both,y,1,floret,caryopsis,Hordeum murinum,,HORMUR,HOMU,Poaceae,grass,invasive,2021,,,,1.48,,38.56483847,-121.4745267,8,R&27th,,SAC,SAC-04,wild,,,
y,y,both,y,1,achene + pappus,achene,Hypochaeris glabra,,HYPGLA,HYGL2,Asteraceae,forb,invasive,2015,,,,0.22,,38.87216,-122.42711,656,location approximate,,MCL-ML,MCL-ML-26a,wild,,,long morph
y,y,both,y,1,achene + pappus,achene,Hypochaeris glabra,,HYPGLA,HYGL2,Asteraceae,forb,invasive,2015,,,,0.2,,38.87216,-122.42711,656,location approximate,,MCL-ML,MCL-ML-26b,wild,,,short morph
y,y,both,,1,achene,achene,Laennecia coulteri,,LAECOU,LACO13,Asteraceae,forb,native,1998,89.8,,,0.176077343,5750,34.10185,-118.70711,176,,22531,CBG,CBG-22531,wild,,,
y,y,both,,1,achene,achene,Lagophylla minor,,LAGMIN,LAMI,Asteraceae,forb,native,2021,,,,0.2984,,38.86090722,-122.4137252,649,,,MCL-ML,MCL-ML-29,wild,,,
y,y,both,,1,seed,seed,Langloisia setosissima ssp. punctata,,LANSETP,LASEP,Polemoniaceae,forb,native,1998,20,,,0.165156951,600,35.59568,-115.55985,1474,,20066,CBG,CBG-20066,wild,,,
y,y,both,,1,achene + pappus,achene + pappus,Lasthenia californica,,LASCAL,LACA7,Asteraceae,forb,native,2017,,,,0.32,,NA,NA,NA,UC Davis Orchard Park,,UCD,UCD-1,cultivated,,,maternal seed collected at McLaughlin
y,y,both,,1,achene + pappus,achene + pappus,Lasthenia californica,,LASCAL,LACA7,Asteraceae,forb,native,2020,,,,0.0635,,35.12182297,-119.7248455,,,,CP,CP-4,wild,,,
y,y,both,,1,achene + pappus,achene + pappus,Lasthenia coronaria,,LASCOR,LACO7,Asteraceae,forb,native,2003,54.5,,,0.135001027,1500,33.86263,-117.00988,585,,21066,CBG,CBG-21066,wild,,,
y,y,both,,1,achene,achene,Lasthenia minor,,LASMIN,LAMI5,Asteraceae,forb,native,2020,,,,0.01,90,35.12182297,-119.7248455,,,,CP,CP-16,wild,,,"90 without pappus, ~110 with pappus "
y,y,both,y,1,achene + pappus,achene,Layia glandulosa,,LAYGLA,LAGL5,Asteraceae,forb,native,2003,42,,,0.564459228,600,34.43333,-117.58666,1250,,21072,CBG,CBG-21072,wild,,,
y,y,morph,,1,achene + pappus,,Layia platyglossa,,LAYPLA,LAPL,Asteraceae,forb,native,2003,95,,,0.098390433,155,32.89794,-118.4863,366,,21171,CBG,CBG-21171,wild,,,
y,y,chem,,1,,achene + pappus,Layia platyglossa,,LAYPLA,LAPL,Asteraceae,forb,native,2020,94,,,0.3674,,34.31451204,-118.9662452,250,Rancho de los flores; cultivation site,,SS,SS-26,cultivated,,,
y,y,both,,1,seed,seed,Lepidium dictyotum,,LEPDIC,LEDI2,Brassicaceae,forb,native,2020,,,,0.1558,,35.12182297,-119.7248455,,,,CP,CP-5,wild,,,
y,y,both,y,2,silicle,seed,Lepidium lasiocarpum,,LEPLAS,LELA,Brassicaceae,forb,native,2015,,,,0.2146,,32.22343277,-111.0102093,725,collection location estimate (tumamoc hill),,SD,SD-12,wild,,,
y,y,morph,,1,seed,seed,Lepidium nitidum,,LEPNIT,LENI,Brassicaceae,forb,native,2021,,,,0.0558,61,38.87150375,-122.4277193,718,bottom of hill S water,,MCL-ML,MCL-ML-21,wild,,,only need 200
y,y,both,,1,seed,seed,Lepidium nitidum,,LEPNIT,LENI,Brassicaceae,forb,native,2017,78,,,5.75,,NA,NA,NA,"collected from various locations in Riverside, San Diego, and Orange Counties",,SS,SS-27,wild,,x,
y,y,both,,1,seed,seed,Lepidium nitidum,,LEPNIT,LENI,Brassicaceae,forb,native,2020,,,,7.9,,35.12182297,-119.7248455,,,,CP,CP-6,wild,,,
y,y,both,,1,seed,seed,Leptosiphon montanus,,LEPMON,LEMO19,Polemoniaceae,forb,native,2010,100,,,0.454828121,355,36.45062,-118.8674,402,,23198,CBG,CBG-23198,wild,,,
y,y,both,,1,achene + pappus,achene + pappus,Leptosyne bigelovii,,LEPBIG,COBI,Asteraceae,forb,native,2005,,,,0.959352742,600,34.46286,-117.81985,1158,,21659,CBG,CBG-21659,wild,,,
y,y,both,,1,seed,seed,Lesquerella gordonii,,LESGOR,LEGO,Brassicaceae,forb,native,2015,,,,0.83,,32.22343277,-111.0102093,725,collection location estimate (tumamoc hill),,SD,SD-13,wild,,,
y,y,both,,1,seed,seed,Linanthus bigelovii,,LINBIG,LIBI2,Polemoniaceae,forb,native,2005,91.7,,,0.195211653,1350,34.41231,-117.77356,1590,,21670,CBG,CBG-21670,wild,,,
y,y,both,,1,seed,seed,Linanthus dichotomus,,LINDIC,LIDI2,Polemoniaceae,forb,native,1998,95,,,0.184221549,3100,33.60372,-115.92266,240,,19965,CBG,CBG-19965,wild,,,
y,y,both,,1,seed,seed,Loeseliastrum matthewsii,,LOEMAT,LOMA10,Polemoniaceae,forb,native,1998,0,,,0.236886116,600,33.65655,-115.80227,457,,19951,CBG,CBG-19951,wild,,,
y,y,both,,1,achene,achene,Logfia filaginoides,Filago californica,LOGFIL,LOCA19,Asteraceae,forb,native,2021,,,,0.0424,,38.87207989,-122.4270872,654,,,MCL-ML,MCL-ML-32,wild,,,"mixed morphs, not enough for phosphorus"
y,y,both,,1,achene,achene,Logfia gallica,Filago gallica,LOGGAL,LOGA2,Asteraceae,forb,invasive,2021,,,,0.0441,,39.25693242,-121.3115828,287,,,SFREC,SFREC-16,wild,,,"only clean enough for c:n - 0.01 grams is fine, might be able to clean 2nd morph, otherwise this only contains one of the morphs"
y,y,both,,1,seed,seed,Lupinus bicolor,,LUPBIC,LUBI,Fabaceae,forb,native,2003,48,,,2.597863446,600,33.78216,-116.93819,506,,21064,CBG,CBG-21064,wild,,,
y,y,both,,1,seed,seed,Lupinus hirsutissimus,,LUPHIR,LUHI3,Fabaceae,forb,native,2004,16,,,4.319499479,192,34.2038,-117.67747,974,,21395,CBG,CBG-21395,wild,,,
y,y,both,,1,seed,seed,Lupinus kingii,,LUPKIN,LUKI,Fabaceae,forb,native,2011,84,,8.038,1.6076,200,35.14808333,-111.7383333,2247,,W6 40813,GRIN,GRIN-W6-40813,wild,,,NOT collected in an aridland; collected before 2011
y,y,both,,1,seed,seed,Lupinus microcarpus,,LUPMIC,LUSUS,Fabaceae,forb,native,2015,,,,5.04,,38.87116748,-122.4201456,652,location approximate,,MCL-ML,MCL-ML-6,wild,,,
y,y,both,,1,seed,seed,Lupinus microcarpus var. horizontalis,,LUPMICH,LUHOH,Fabaceae,forb,native,2010,100,,,7.754623804,241,33.7476,-116.90593,528,,23119,CBG,CBG-23119,wild,,,
y,y,both,,1,seed,seed,Lupinus microcarpus var. microcarpus,,LUPMICM,LUSUS,Fabaceae,forb,native,1999,96.7,,,3.685,113,34.10134,-118.69577,212,,22614,CBG,CBG-22614,wild,,,
y,y,chem,,1,seed,seed,Lupinus sparsiflorus,,LUPSPA,LUSP2,Fabaceae,forb,native,2020,72,,,,,34.31451204,-118.9662452,250,Rancho de los flores; cultivation site,,SS,SS-32,cultivated,,,
y,y,morph,,1,seed,seed,Lupinus sparsiflorus,,LUPSPA,LUSP2,Fabaceae,forb,native,2005,18,,,1.362097662,219,34.45204,-117.9012,1248,,21651,CBG,CBG-21651,wild,,,
y,y,both,,1,seed,seed,Lupinus succulentus,,LUPSUC,LUSU3,Fabaceae,forb,native,1997,4,,,3.911926786,600,34.31759,-118.72117,467,,22376,CBG,CBG-22376,wild,,,
y,y,morph,,1,achene + pappus,,Machaeranthera tagetina,,MACTAG,MATA,Asteraceae,forb,native,2011,90,,0.8608,0.08608,100,32.51528,-110.68028,1351,,W6 42279,GRIN,GRIN-W6-42279,wild,,,"collected before 2011, pappus intact"
y,y,chem,,1,achene,achene,Machaeranthera tagetina,,MACTAG,MATA,Asteraceae,forb,native,2011,94,,0.8608,0.08608,100,32.5938,-110.72925,1387,,W6 42278,GRIN,GRIN-W6-42278,wild,,,"collected before 2011, pappus not intact"
y,y,morph,,1,achene,achene,Madia elegans,,MADELE,MAEL,Asteraceae,forb,native,1996,72,,,0.210100671,105,34.0945,-118.64867,388,,22365,CBG,CBG-22365,wild,,,
y,y,chem,,1,achene,achene,Madia elegans,,MADELE,MAEL,Asteraceae,forb,native,2021,10,39,,0.1635,34,NA,NA,NA,,,HED,HED-2,cultivated,,x,
y,y,both,y,1,achene + flower case,achene,Madia gracilis,,MADGRA,MAGR3,Asteraceae,forb,native,2021,,,,0.42,,39.25693242,-121.3115828,287,,,SFREC,SFREC-17a,wild,,,
y,y,both,,1,achene,achene,Madia gracilis,,MADGRA,MAGR4,Asteraceae,forb,native,2021,,,,0.43,,39.25693242,-121.3115828,287,,,SFREC,SFREC-17b,wild,,,
y,y,both,y,1,achene + pappus,achene,Malacothrix coulteri,,MALCOU,MACO3,Asteraceae,forb,native,2020,,,,0.1842,,35.12182297,-119.7248455,,,,CP,CP-17,wild,,,
y,y,both,,1,achene,achene,Malacothrix fendleri,,MALFEN,MAFE,Asteraceae,forb,native,2011,91,,,0.0871,200,31.71567,-110.58987,1419,,W6 42281,GRIN,GRIN-W6-42281,wild,,,collected before 2011
y,y,chem,,1,achene,achene,Malacothrix fendleri,,MALFEN,MAFE,Asteraceae,forb,native,2011,89,,,0.0824,200,31.77613,-110.55003,1443,,W6 42280,GRIN,GRIN-W6-42280,wild,,,collected before 2011
y,y,morph,,1,achene + pappus,achene + pappus,Malacothrix glabrata,,MALGLA,MAGL3,Asteraceae,forb,native,2011,0,,,0.144001767,600,35.43507,-117.56618,1071,,23454,CBG,CBG-23454,wild,,,
y,y,chem,,1,achene + pappus,achene + pappus,Malacothrix glabrata,,MALGLA,MAGL3,Asteraceae,forb,native,2019,34,,,0.2027,,NA,NA,NA,"collected from various locations in Riverside, San Diego, and Orange Counties",,SS,SS-34,wild,,,
y,y,both,y,1,mericarp,seed,Malva parviflora,,MALPAR,MAPA5,Malvaceae,forb,invasive,2015,,,,0.72,,33.260401,-116.348148,168,,,DW,DW-13,wild,,,
y,y,both,,1,seed,seed,Matthiola parviflora,,MATPAR,,Brassicaceae,forb,invasive,2015,,,,0.26,,32.22343277,-111.0102093,725,collection location estimate (tumamoc hill),,SD,SD-14,wild,,,
y,y,both,y,many,legume,seed,Medicago polymorpha,,MEDPOL,MEPO3,Fabaceae,forb,invasive,2021,,,,,,38.87234312,-122.4269182,657,location estimate,,MCL-ML,MCL-ML-22,wild,,,"53 dispersules, may be more than one seed per dispersule"
y,y,both,,1,seed,seed,Medicago sativa ssp. sativa,,MEDSATS,MESAS,Fabaceae,forb,invasive,1997,100,,1.6372,0.16372,100,NA,NA,NA,,PI 597643,GRIN,GRIN-PI-597643,cultivated,,,collected before 1997; cannot order more
y,y,both,,1,seed,seed,Melilotus indica,,MELIND,MEIN2,Fabaceae,forb,invasive,2021,,,,0.527,,33.86799227,-116.5531477,205,palm springs tram view road,,MD,MD-7,wild,,,
y,y,both,,1,seed,seed,Mentzelia albicaulis,,MENALB,MEAL6,Loasaceae,forb,native,2015,,,,0.0366,107,33.300718,-116.335128,191,,,DW,DW-14,wild,,,
y,y,both,,1,seed,seed,Mentzelia involucrata,,MENINV,MEIN5,Loasaceae,forb,native,2015,,,,0.46,,33.240023,-116.390608,292,,,DW,DW-15,wild,,,
y,y,both,,1,seed,seed,Mentzelia micrantha,,MENMIC,MEMI3,Loasaceae,forb,native,2017,28,,,0.428998482,600,34.27361,-117.46689,846,,24806,CBG,CBG-24806,wild,,,
