"","X.x","Line","habitat","watering","fertilization","WFtreatment","Plot","rawcount","obsID","IDnum","family.x","annual.x","MarinaSp","nat.inv","Functional.group.x","species","X.y","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","X.1","annual.y","family.y","origin","Functional.group.y","SCT","SCP","Starch","CN","Carbon","N","Mass","Length","Shape","Compact","Disp","Texture","mucilage","Perimeter","Intensity","W","area","dispcat","totplotincmissing","totplottraits","relab","relab_traitsonly"
"11",11,"2","Harsh","unwatered","unfertilized","C","16",18,13,9,"Poaceae","annual","yes","invasive","Grass","BROMAD",55,-2.73072241580168,-0.566707217637048,0.695066191039759,-0.430693145926932,-0.600123444244397,-1.19645436037934,-1.42567253039994,-0.0710283072195807,-0.161011933743148,-0.0150959812543176,-0.456765279653481,55,"annual","Poaceae","Non-Native","Grass",1.04880884817015,-0.265055997775891,1,15.1281943862589,0.421435478492831,27.8576192064021,0.303693207390762,2.28623558521223,-1.64604392218773,2.63885035309468,1,0.50823809900931,0,2.98790491958982,24.772517,0.93060596,1.84970411094688,NA,307,159,0.0586319218241042,0.113207547169811
"12",12,"2","Harsh","unwatered","unfertilized","C","16",0,14,10,"MONTIACEAE","annual","no","native","Forb","CALCIL",6,1.85943885104585,0.888208622146904,1.00823703152097,-1.64402285508953,-1.50948547014312,-0.74111921343873,1.33270653933698,0.661018695084173,-0.561932153755648,0.625669041724216,-0.157030370154517,6,"annual","MONTIACEAE","Native","Forb",1.67332005306815,-1.12033132612472,1,14.6817717901613,0.478072449318711,32.5623130608176,-1.08803509163034,0.339875047630171,-3.23557577499489,2.68642732796976,0,-3.85646446278322,0,1.19166917413471,7.024024,0.94168466,-0.0387842700084479,NA,307,159,0,0
"13",13,"2","Harsh","unwatered","unfertilized","C","16",1,15,11,"Asteraceae","annual","yes","native","Forb","CALPAU",7,-0.697515693091998,0.555603574661189,-0.606658448017544,-0.315256641731001,1.29086297194113,0.396167617302244,1.02534433341108,0.745419836323865,-0.817265061985636,0.76061330549827,-0.0104498781825342,7,"annual","Asteraceae","Native","Forb",2.23606797749979,-0.733078420939704,0,16.2420357913441,0.452674212946586,27.8705341351256,0.327661004001989,1.13917092051146,-2.52762839039768,2.6312299803459,2,-1.9395354010061,0,1.93309369665415,7.3893639,1.444655,1.14023968676381,NA,307,159,0.00325732899022801,0.00628930817610063
"14",14,"2","Harsh","unwatered","unfertilized","C","16",0,16,110,"LILIACEAE","bulb","no","native","Forb","CALSUP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,307,159,0,0
"15",15,"2","Harsh","unwatered","unfertilized","C","16",0,17,111,"Onagraceae","annual","no","native","Forb","CAMGRA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,307,159,0,0
"16",16,"2","Harsh","unwatered","unfertilized","C","16",0,18,112,"Asteraceae","annual","yes","invasive","Forb","CARPYC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,307,159,0,0
"17",17,"2","Harsh","unwatered","unfertilized","C","16",0,19,12,"Orobanchaceae","annual","yes","native","Forb","CASATT",56,2.41375271088522,-1.24616891544662,-0.327830160306654,-0.132971282780896,-0.429218606095384,0.669786177573614,-0.730607011195806,0.429924495262908,1.0246983371576,0.130815875297932,0.00844606107643055,56,"annual","Orobanchaceae","Native","Forb",1.07238052947636,-0.608966553377488,0,13.6512120932805,0.58631037212985,42.9493269992082,-1.78943217946896,0.274705185695364,-3.50283765921747,2.55443504043068,0,-1.10171466606813,0,1.16507374103779,13.748108,0.9350374,-0.259582936947331,NA,307,159,0,0
"18",18,"2","Harsh","unwatered","unfertilized","C","16",0,20,113,"Orobanchaceae","annual","no","native","Forb","CASRUB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,307,159,0,0
"19",19,"2","Harsh","unwatered","unfertilized","C","16",0,21,13,"Asteraceae","annual","yes","invasive","Forb","CENSOL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,307,159,0,0
"20",20,"2","Harsh","unwatered","unfertilized","C","16",0,22,14,"Asteraceae","annual","no","native","Forb","CENTRI",57,4.12047726304585,-0.686075684595518,1.0998408485244,-0.71063814852362,0.0971930458620858,0.612602397129065,-0.329026923851787,0.344322817172738,-0.0722358800697196,0.161000410926119,-0.161580573849551,57,"annual","Asteraceae","Native","Forb",0.866025403784439,-1.36424368030233,0,11.5026589166461,0.542019230769231,47.1212121212121,-3.28038446826898,-0.700527971709654,-3.92650499775749,2.68921462495078,0,-2.3901271926102,0,0.177541567492465,10.4924025,0.37224239,-1.98011168434227,NA,307,159,0,0
"21",21,"2","Harsh","unwatered","unfertilized","C","16",0,23,15,"Asteraceae","annual","yes","native","Forb","CHAGLA",8,-0.87110123613493,-1.78853361103933,-0.366051477622954,-0.610166733520942,0.337052748774334,0.31315628767429,0.421483287565383,0.271227088961035,0.413646726349276,-0.753592240872428,-0.126407397200114,8,"annual","Asteraceae","Native","Forb",1.04880884817015,-0.261312541120922,0,17.2153330019881,0.48241295264624,28.0222841225627,-0.667068810391264,1.4986787391019,-1.78886296021394,2.42411281993147,1,-1.13784512469487,0,2.23920067895194,13.89008905,0.66028713,0.604127424490171,NA,307,159,0,0
"22",22,"2","Harsh","unwatered","unfertilized","C","16",0,24,16,"AGAVACEAE","bulb","no","native","Forb","CHLPOM",9,0.00969116130397584,1.81708693131311,-1.57546656735197,-0.0643721007405074,-0.249897578865568,0.241248171999967,-0.72271689729552,0.159051772453244,0.675281461254634,-0.363185934833242,0.27777942208597,9,"bulb","AGAVACEAE","Native","Forb",2.14476105895272,-1.15967792412775,0,14.4921601964674,0.497337115072934,34.3176661264182,2.3095287481084,1.38002907514096,-3.3870510452423,2.65631305032016,0,-0.731069404315595,0,2.28194711749168,4.4755521,2.7120518,2.06510837333592,NA,307,159,0,0
"23",23,"2","Harsh","unwatered","unfertilized","C","16",0,25,116,"polygonaceae","annual","no","native","Forb","CHOPOL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,307,159,0,0
"24",24,"2","Harsh","unwatered","unfertilized","C","16",2,26,80,"Onagraceae","annual","no","native","Forb","CLARKIASP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,307,159,0.00651465798045603,0.0125786163522013
"25",25,"2","Harsh","unwatered","unfertilized","C","16",0,27,19,"Plantaginaceae","annual","yes","native","Forb","COLSPA",12,-1.51725380645393,0.0139711801558773,0.940568850102672,1.35116213281886,1.49391729076628,0.216105231381007,-0.0515245224359536,-0.0580139740613323,0.172209043626007,-0.00615720012378783,0.0144708243528246,12,"annual","Plantaginaceae","Native","Forb",1.08397416943394,0.201308418610063,0,20.5811462676805,0.413686113393591,20.1002465078061,0.712051801283051,1.14200384303999,-2.87612202909751,2.67239942524917,2,-0.0576216340510432,0,2.04347526509836,13.7594231,2.2112972,1.6314595660653,NA,307,159,0,0
"26",26,"2","Harsh","unwatered","unfertilized","C","16",0,28,119,"CRASSULACEAE","annual","no","native","Forb","CRACON",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,307,159,0,0
"27",27,"2","Harsh","unwatered","unfertilized","C","16",0,29,20,"Boraginaceae","annual","no","native","Forb","CRYHIS",13,1.27917071919878,-0.356326053343227,-1.46793549796201,-0.761098882007171,-0.490494602007848,0.596808421721797,-0.252828451546557,-0.00760190564004418,-0.521166546383274,0.0752817231446304,0.130563042279115,13,"annual","Boraginaceae","Native","Forb",2.14476105895272,-0.808219226713707,0,11.2266597892565,0.519812350733538,46.301603548277,-1.02398730732953,0.640096448045438,-2.67405276125271,2.5452730422394,0,-1.34424288911692,0,1.42897844487539,12.6693285,0.87299704,0.0439478495410302,NA,307,159,0,0
"28",28,"2","Harsh","unwatered","unfertilized","C","16",0,30,21,"THEMIDACEAE","perennial","no","native","Forb","DICCAP",14,0.326310442593164,0.217976839824172,0.18833506192545,-1.41301004672919,-1.38999349670412,-1.53615024089643,-0.0142423817911488,0.473276107955882,0.100063534551738,0.199946347580468,-0.0198105853742492,14,"perennial","THEMIDACEAE","Native","Forb",1.34164078649987,-0.640969489456686,1,11.855115697815,0.494248739495798,41.690756302521,0.17085728288807,1.26808174883368,-2.48351160974305,2.65135945408676,0,-2.25119512077995,0,2.02200028196041,5.041452,1.4313608,1.25457030570566,NA,307,159,0,0
"29",29,"2","Harsh","unwatered","unfertilized","C","16",0,31,22,"Poaceae","perennial","no","native","Grass","ELYELY",15,-2.70960188672319,0.207937366544262,0.654469349923819,0.235716278856385,-0.923023746326361,-0.684047382853335,-0.88601660111779,0.151059186112228,-0.589669079303955,0.161321313836724,0.0891036849469947,15,"perennial","Poaceae","Native","Grass",1.58113883008419,-0.15136743717927,1,19.1514827269948,0.413631561571476,21.5978870914493,0.927230671912489,1.78883299126556,-1.77797598776172,2.67761700036402,1,0.378265599210711,0,2.51691842807734,35.738312,1.06354994,1.54398710328834,NA,307,159,0,0
"30",30,"2","Harsh","unwatered","unfertilized","C","16",0,32,23,"Onagraceae","annual","yes","native","Forb","EPIBRA",58,0.69479589817417,-1.08535640880339,-0.564405500628672,0.72215073672467,0.669964587807307,-1.06076370639999,-0.34095354770759,0.466396206566727,0.517665167969048,0.239703401091951,0.202565798008234,58,"annual","Onagraceae","Native","Forb",1.04880884817015,0.802227144773952,0,12.0193064809207,0.540336963921035,44.9557522123894,-0.0474323364348889,0.903538405495452,-2.63258699117071,2.66374130438694,1,-1.05371988232544,1,1.72735155289464,11.1111555,1.3028486,0.841825945300508,NA,307,159,0,0
"31",31,"2","Harsh","unwatered","unfertilized","C","16",0,34,129,"EUPHORBIACEAE","annual","no","native","Forb","ERESET",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,307,159,0,0
"32",32,"2","Harsh","unwatered","unfertilized","C","16",0,36,24,"polygonaceae","shrub","no","native","Forb","ERINUD",16,-0.865269566578975,0.153038736466342,0.787978790882367,-0.395154020549019,-1.68544149330574,-0.347517540532945,-0.430950315157693,-0.68429222392312,-0.281017626318182,-0.0336888708636022,0.154396093044183,16,"shrub","polygonaceae","Native","Forb",1.48323969741913,-0.325967198496102,1,16.8480933266433,0.421308030112923,25.0062735257215,-0.0043092715880984,1.06560840293529,-2.57309223876675,2.58996649672405,0,-0.51356219810559,0,1.7995165385548,15.398703,1.2408079,0.76562606218026,NA,307,159,0,0
"33",33,"2","Harsh","unwatered","unfertilized","C","16",0,37,25,"Asteraceae","perennial","no","native","Forb","ERILAN",59,-0.351073200782756,-2.38243378098337,-2.31700573747341,0.90482776081186,-0.519046538268541,0.912359105405693,-0.0736682577871696,-0.334417128185683,-0.539170750724247,1.24062073696046,0.175835591211634,59,"perennial","Asteraceae","Native","Forb",2.48997991959775,1.40140465800767,0,14.1387151310228,0.547499181669394,38.7234042553191,-1.74524172632302,0.977902837732403,-2.08500147076109,2.40102480908706,1,0.244682176775589,0,1.73167460692358,12.0670282,0.71346458,0.176962514410011,NA,307,159,0,0
"34",34,"2","Harsh","unwatered","unfertilized","C","16",0,38,130,"polygonaceae","annual","no","native","Forb","ERIVIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,307,159,0,0
"35",35,"2","Harsh","unwatered","unfertilized","C","16",0,39,131,"Geraniaceae","annual","no","invasive","Forb","EROBRA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,307,159,0,0
"36",36,"2","Harsh","unwatered","unfertilized","C","16",5,40,132,"Geraniaceae","annual","yes","invasive","Forb","EROCIC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,307,159,0.0162866449511401,0.0314465408805031
"37",37,"2","Harsh","unwatered","unfertilized","C","16",0,41,26,"Euphorbiaceae","annual","yes","native","Forb","EUPCRE",60,1.47854158939488,0.759762324872449,-0.309877876766855,0.906765666021402,-0.357287147544724,0.352980028076407,-0.382330810973409,-0.223851142290827,0.343256653239462,0.0773706264323458,-0.401294278160812,60,"annual","Euphorbiaceae","Native","Forb",1.70293863659264,-0.122917431595491,0,16.0309635173059,0.49744847605225,31.0304789550073,-0.331842968237551,0.640096448045438,-4.02892873737209,2.70760613636994,0,-0.967567768499127,0,1.545108734716,14.3416118,1.4978324,0.741595476775378,NA,307,159,0,0
"38",38,"2","Harsh","unwatered","unfertilized","C","16",0,42,27,"Asteraceae","annual","no","native","Forb","FILCAL",61,2.56757521251956,-2.0342007028216,0.926828383549009,-0.770261772227781,0.108447556935561,0.588305348335166,-1.39432878667131,-0.353066390935662,-0.697709577805309,-0.531847959791808,0.19393021656056,61,"annual","Asteraceae","Native","Forb",0.645497224367903,-1.09973833391323,0,9.81630155427732,0.503667189952904,51.309262166405,-3.53247541438901,-0.395146295647733,-2.56368267950789,2.59690995660948,0,-0.689385624092392,0,0.40253863014567,20.89815,0.34122222,-1.8558694741918,NA,307,159,0,0
"39",39,"2","Harsh","unwatered","unfertilized","C","16",0,43,28,"LILIACEAE","bulb","no","native","Forb","FRIPUR",17,-1.20420785567635,-0.0698339723562483,-0.203249065714988,-0.173845643602971,1.78813410835963,-1.64175736005251,1.52303795290011,0.695812494421227,0.803959012608015,-0.214819558962127,-0.389626812578765,17,"bulb","LILIACEAE","Native","Forb",0.948683298050514,0.470304461433783,0,15.0369629317607,0.454314349347757,30.2131721285396,1.67883803431668,2.03858246313864,-2.37992061726922,2.62452810405701,2,-2.69569719463077,0,2.93858429495371,19.242952,5.6988539,3.42755748127176,NA,307,159,0,0
"40",40,"2","Harsh","unwatered","unfertilized","C","16",0,44,81,"Rubiaceae","annual","no",NA,"Forb","GALIUMSP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,307,159,0,0
"41",41,"2","Harsh","unwatered","unfertilized","C","16",0,45,31,"Polemoniaceae","annual","yes","native","Forb","GILCAP",20,0.475729800485778,-0.023264540353209,-0.794156813196411,2.15725344474348,-0.788661352718866,-0.479097560060612,0.451600463341319,-0.300633772217659,-0.181515445987076,-0.293522305465917,0.0183041348133415,20,"annual","Polemoniaceae","Native","Forb",1.84390889145858,1.78074073040443,0,18.9631241997439,0.483361618798956,25.4895561357702,0.263248488810514,0.748489688306634,-2.99409267546784,2.6957116699962,0,-0.894615740898308,1,1.58766840690048,13.222789,1.3028482,0.707822913253542,NA,307,159,0,0
"42",42,"2","Harsh","unwatered","unfertilized","C","16",2,46,32,"Polemoniaceae","annual","yes","native","Forb","GILTRI",21,1.19255136489323,-1.09337419630606,0.883272312687844,1.89434288967924,-0.117430016512111,-0.764470901776775,-0.181422598288302,-1.37658149033638,0.402941638215947,-0.744596109488324,-0.0940318729292633,21,"annual","Polemoniaceae","Native","Forb",0.547722557505166,1.78484226799345,0,15.7635157184815,0.448650154798762,28.4613003095975,-0.957568559437174,0.301284858625074,-3.39952861921195,2.66097160197137,0,-0.503125100711392,1,1.16161228313025,18.732731,0.86413413,-0.167471668202674,NA,307,159,0.00651465798045603,0.0125786163522013
"43",43,"2","Harsh","unwatered","unfertilized","C","16",1,47,33,"Asteraceae","annual","yes","native","Forb","HEMCON",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,307,159,0.00325732899022801,0.00628930817610063
"44",44,"2","Harsh","unwatered","unfertilized","C","16",0,48,34,"Asteraceae","annual","yes","native","Forb","HOLVIR",22,0.54241256621155,0.660235495451128,-2.87360158097663,-0.129609854149187,-0.915217045041742,0.406362344728529,-0.0687043196819775,0.705358256703629,-0.350060988306379,0.466634067299185,0.147386600850569,22,"annual","Asteraceae","Native","Forb",2.96647939483827,-0.436417162375974,0,13.2298637426429,0.556614654002714,42.072591587517,0.64257730864977,1.2504712588193,-2.67588103869234,2.59688938916408,0,-1.30020301723095,0,2.07178169229508,8.0783162,1.6041876,1.32735323861044,NA,307,159,0,0
"45",45,"2","Harsh","unwatered","unfertilized","C","16",0,49,35,"Asteraceae","annual","yes","invasive","Forb","HYPGLA",23,-0.68445472356527,-0.789253604720782,-1.16287353621796,-0.688739409619133,0.30269832129814,0.317494550092756,0.0297801831321068,0.651360964919369,-0.604828310361108,-0.168717342893219,-0.274621093265259,23,"annual","Asteraceae","Non-Native","Forb",1.89736659610103,-0.69910604060618,0,14.7603540224668,0.489033834586466,33.1315789473684,-0.610968294602301,1.54321663225137,-1.7634817586316,2.54506344763454,1,-1.13784512469487,0,2.25767855975798,13.89008905,0.62483544,0.549988566019796,NA,307,159,0,0
"46",46,"2","Harsh","unwatered","unfertilized","C","16",0,50,36,"Asteraceae","annual","no","invasive","Forb","LACSER",24,0.432337746841278,-1.61808135903796,-0.293194202625147,-0.178227879691663,1.54097937704194,-1.28723855795664,0.485722601012554,1.91141086681382,0.549471432901563,0.512214964372306,-0.124497387027286,24,"annual","Asteraceae","Non-Native","Forb",0.806225774829855,0.215874396556445,0,13.0077183586674,0.57010355540214,43.8280980324474,-0.498403103767433,1.27243634374138,-2.0342974775446,2.66143964150888,2,-2.33509289225609,0,1.98844255655639,20.6608395,1.11894288,0.970596438388775,NA,307,159,0,0
"47",47,"2","Harsh","unwatered","unfertilized","C","16",0,51,37,"Asteraceae","annual","yes","native","Forb","LAGMIN",25,1.18047893050022,-1.28995470689415,-0.65348092152654,-0.654437958705059,-0.10574946777738,-0.605348610030677,-0.298929034782264,0.0250580031126073,-0.0307140928745167,-0.744906388760182,-0.0486749525270064,25,"annual","Asteraceae","Native","Forb",1.09544511501033,-0.17003949713591,0,10.4490356325597,0.512894736842105,49.0853658536585,-1.09654775461923,0.881759036872278,-2.21095917177849,2.57148452930381,0,-1.55553064395559,0,1.64530473835931,11.8666457,0.90844863,0.40109269636601,NA,307,159,0,0
"48",48,"2","Harsh","unwatered","unfertilized","C","16",0,52,38,"Asteraceae","annual","yes","native","Forb","LASCAL",26,-0.855600712081132,-2.9089589943611,-0.356127101943535,-1.37223568901622,1.39852670010975,0.470862790402739,0.695308048505875,-0.672274359166466,0.367413643310184,0.395022310805886,0.089471520195137,26,"annual","Asteraceae","Native","Forb",0.974679434480896,-0.0553490477977028,0,11.166593374377,0.470237654320988,42.1111111111111,-1.63951059669039,1.21721132052712,-1.90902869353915,2.26921623284771,2,-1.13784512469487,0,1.99320057996534,13.89008905,0.684413922222222,0.0898811460014157,NA,307,159,0,0
"49",49,"2","Harsh","unwatered","unfertilized","C","16",0,53,39,"Brassicaceae","annual","yes","native","Forb","LEPNIT",62,0.456882474785143,-0.698428077942507,-1.10996274114978,2.24712316189719,-0.457750733024596,-1.46173764622008,0.0699519345947875,-1.42829434387992,-0.648998558540485,-0.123649751855052,0.159538162809917,62,"annual","Brassicaceae","Native","Forb",1.73205080756888,2.7795448548704,0,12.1839416058394,0.457175897748022,37.522824102252,0.0378977230030083,0.701270645689837,-2.69448742591283,2.68505937148159,0,-0.457125248722933,1,1.55311068482785,20.332375,1.2053563,0.604020076087439,NA,307,159,0,0
"50",50,"2","Harsh","unwatered","unfertilized","C","16",0,54,140,"Polemoniaceae","annual","no","native","Forb","LINBIC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,307,159,0,0
"51",51,"2","Harsh","unwatered","unfertilized","C","16",0,55,40,"Polemoniaceae","annual","yes","native","Forb","LINDIC",27,1.81396131446537,-0.902881710072665,0.0312515998158308,0.100931669035305,-0.512609295499911,0.539771517597449,0.0442732357188493,0.536647472935483,0.312059410243154,-0.470144917890935,0.0678572913774382,27,"annual","Polemoniaceae","Native","Forb",1.18321595661992,-0.408098173387183,0,17.2459543672731,0.535685295035904,31.0615048392132,-1.45703876564565,0.27470533765457,-2.97528883008141,2.5918348728539,0,-1.58441937247602,0,1.09642630113739,11.835427,0.70017023,-0.445986101058937,NA,307,159,0,0
"52",52,"2","Harsh","unwatered","unfertilized","C","16",0,56,141,"Polemoniaceae","annual","no","native","Forb","LINJEP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,307,159,0,0
