"","Fullname","Abbreviation","Family","Life History","Functional.group","Origin","InSeedbank","TraitData"
"98",NA,"PSELUT",NA,NA,NA,NA,"Yes","No"
"99","Sagina apetala","SAGAPE","Caryophyllaceae","annual","Forb","Non-Native","Yes","No"
"100","Senecio vulgaris","SENVUL","Asteraceae","annual","Forb","Non-Native","Yes","No"
"101","Sisyrinchium bellum","SISBEL","Iridaceae","perennial","Forb","Native","Yes","Yes"
"102",NA,"ASTRAGSP",NA,NA,NA,NA,"Yes","No"
"103","Ranunculus occidentalis","RANOCC","Ranunculaceae","perennial","Forb","Native","Yes","No"
"104",NA,"UNKPER",NA,NA,NA,NA,"Yes","No"
"105","Juncus bufonius","JUNBUF","JUNCACEAE","annual","Grass","Native","Yes","No"
"106",NA,NA,NA,NA,NA,NA,"Yes","No"
"107","Trifolium_lump","TRISP","Fabaceae","annual","N-fixer",NA,"Yes","No"
"108","Trifolium gracilentum","TRIGRA","Fabaceae","annual","N-fixer","Native","Yes","Yes"
"109","Brodiaea elegans","BROELE","THEMIDACEAE","perennial","Forb","Native","No","Yes"
"110","Clarkia gracilis","CLAGRA","Onagraceae","annual","Forb","Native","No","Yes"
"111","Clarkia purpurea","CLAPUR","Onagraceae","annual","Forb","Native","No","Yes"
"112","Galium aparine","GALAPA","Rubiaceae","annual","Forb","Native","No","Yes"
"113","Galium murale","GALMUR","Rubiaceae","annual","Forb","Non-Native","No","Yes"
"114","Medicago polymorpha","MEDPOL","Fabaceae","annual","N-fixer","Non-Native","No","Yes"
