"","species","annual","family","origin","Functional.group","SCT","SCP","Starch","CN","Carbon","N","Mass","Length","Shape","Compact","Disp","Texture","mucilage","Perimeter","Intensity","W","area","dispcat","nseedssp","nfam"
"16","ERINUD","shrub","polygonaceae","Native","Forb",2.2,0.721828864115698,1,16.8480933266433,0.421308030112923,25.0062735257215,0.9957,2.9026044,0.0762992447806136,0.95164494,0,0.5983603,0,6.0467234,15.398703,1.2408079,2.1503402,"smooth",90,5
"17","FRIPUR","bulb","LILIACEAE","Native","Forb",0.9,1.60048140390814,0,15.0369629317607,0.454314349347757,30.2131721285396,5.359325,7.6797152,0.0925579247195386,0.96490111,2,0.067495308,0,18.889086,19.242952,5.6988539,30.801318,"flat",149,5
"18","GALAPA","annual","Rubiaceae","Native","Forb",1.085,0.792564511838255,0,18.1381709741551,0.47180349062702,26.0116354234001,0.15036,0.96162618,0.0297728962292792,0.97874891,2,0.63041581,0,2.3220836,12.6964889,0.62040399,0.44656384,"elong_short",1005,10
"19","GALMUR","annual","Rubiaceae","Non-Native","Forb",1,0.932650676929421,0,16.886691290361,0.457488702388638,27.0916720464816,0.14551,1.09456976,0.0393961385388555,0.96895456,2,0.78271515,0,2.685463,18.059156,0.68687586,0.55771385,"elong_short",117,5
"20","GILCAP","annual","Polemoniaceae","Native","Forb",3.4,5.93425047073743,0,18.9631241997439,0.483361618798956,25.4895561357702,1.30115,2.1138051,0.0500820471481005,0.99166224,0,0.40876464,1,4.8923287,13.222789,1.3028482,2.0295679,"coarse",80,3
"21","GILTRI","annual","Polemoniaceae","Native","Forb",0.3,5.95864000521071,0,15.7635157184815,0.448650154798762,28.4613003095975,0.383825,1.3515943,0.0333890051869702,0.97869132,0,0.604638149,1,3.1950805,18.732731,0.86413413,0.84580058,"coarse",43,3
"22","HOLVIR","annual","Asteraceae","Native","Forb",8.8,0.646348037604365,0,13.2298637426429,0.556614654002714,42.072591587517,1.901375,3.4919882,0.0688461455485735,0.95431434,0,0.27247647,0,7.9389553,8.0783162,1.6041876,3.7710491,"coarse",88,3
"23","HYPGLA","annual","Asteraceae","Non-Native","Forb",3.6,0.497029429374108,0,14.7603540224668,0.489033834586466,33.1315789473684,0.542825,4.6796187,0.171446886743429,0.93415558,1,NA,0,9.5608684,NA,0.62483544,1.7332332,"elong_long",138,5
"24","LACSER","annual","Asteraceae","Non-Native","Forb",0.65,1.24094650205761,0,13.0077183586674,0.57010355540214,43.8280980324474,0.6075,3.5695386,0.130772320732899,0.978867195,2,0.09680149,0,7.3041491,20.6608395,1.11894288,2.6395183,"elong_long",89,5
"25","LAGMIN","annual","Asteraceae","Native","Forb",1.2,0.84363149491052,0,10.4490356325597,0.512894736842105,49.0853658536585,0.334022222222222,2.4151443,0.109595477196117,0.94448337,0,0.211077346,0,5.182589,11.8666457,0.90844863,1.4934557,"smooth",63,5
"26","LASCAL","annual","Asteraceae","Native","Forb",0.95,0.946154837047533,0,11.166593374377,0.470237654320988,42.1111111111111,0.194075,3.37775511111111,0.148224287906511,0.8194345,2,NA,0,7.33898522222222,NA,0.684413922222222,1.09404424444444,"elong_long",142,3
"27","LINDIC","annual","Polemoniaceae","Native","Forb",1.4,0.664913598797896,0,17.2459543672731,0.535685295035904,31.0615048392132,0.232925,1.3161428,0.0510326920986906,0.95236607,0,0.205066826,0,2.9934492,11.835427,0.70017023,0.64019267,"coarse",125,3
"28","LOLMUL","annual","Poaceae","Non-Native","Grass",2.4,0.466055290922851,1,24.1925739458779,0.416038961038961,17.1969696969697,2.2463,5.46633247058824,0.138984883456356,0.989342741176471,2,2.89696152941176,0,11.3901478235294,30.3076164705882,1.41024605882353,5.69346370588235,"elong_long",165,3
"29","LOMMAR","perennial","Apiaceae","Native","Forb",4.6,1.21781984812352,0,12.5815245702379,0.446851680542707,35.5164970706136,6.14315,9.2794706,0.0409206308169273,0.99811491,2,1.09737859,0,22.228189,27.825987,5.4241036,40.092163,"flat",53,5
"30","LOTHUM","annual","Fabaceae","Native","N-fixer",2.6,0.163458971434119,0,13.2372424209731,0.412008059100067,31.124916051041,3.090225,2.4195756,0.0342950382525693,0.99350528,0,0.33090038,0,6.4189656,11.572741,2.0783535,3.8036478,"smooth",25,5
"31","MEDPOL","annual","Fabaceae","Non-Native","N-fixer",1.61,0.317896262265765,0,8.92220694826294,0.514376801152738,57.6512968299712,3.243275,3.1108829,0.0703588945372101,0.97733158,1,0.073094137,0,7.3274143,23.687946,1.8567804,4.4147766,"elong_short",70,5
"32","MICDOU","annual","Asteraceae","Native","Forb",7.2,1.08456567636511,NA,21.5573205454818,0.503683473389356,23.3648459383754,1.81959166666667,6.22936242857143,0.166405576274013,0.9124945,1,NA,0,13.3924957142857,NA,1.00024304285714,3.36451828571429,"elong_long",88,8
"33","MIMDOU","annual","PHRYMACEAE","Native","Forb",0.7,1.05477246405469,0,29.1386826347305,0.460810606060606,15.8143939393939,3.5401,0.97935201,0.0595371442069219,0.98098381,1,0.086766652,0,2.2511802,17.319935,0.6115411,0.4379232,"coarse",24,1
"34","MIMGUT","perennial","PHRYMACEAE","Native","Forb",1.4,0.288764445276673,0,12.274753407123,0.552800949474398,45.0356052899288,0.027863152173913,0.54950069,0.0244375320031869,0.98230325,0,0.090246422,0,1.3139268,10.8619017,0.38110532,0.15081841,"coarse",500,5
"35","NASPUL","perennial","Poaceae","Native","Grass",0.9,0.249248033317909,NA,12.8534535142799,0.406909265790317,31.6575825585123,4.61013333333333,6.2971005,0.157700786192583,0.99046347,2,0.73422656,0,12.820204,20.11833,1.1211586,5.2735378,"elong_long",53,5
"36","PETPRO","annual","Caryophyllaceae","Non-Native","Forb",0.95,0.482942562957452,1,20.5179856115108,0.257239215686275,12.5372549019608,0.238165909090909,1.2053562,0.0440422393229814,0.89071208,2,0.195890449,0,2.6921101,8.300277,0.70903314,0.51019034,"elong_short",79,5
"37","PHLGRA","annual","Polemoniaceae","Native","Forb",1.2,6.23062927185454,1,15.9009691848907,0.470654652445752,29.5991173225451,2.088525,2.8272694,0.0825818379198115,0.99451136,0,0.231105283,1,6.5208891,18.122561,1.7371311,3.6661831,"coarse",40,5
"38","PLAERE","annual","Plantaginaceae","Native","Forb",5.2,16.4552571776965,0,16.294731610338,0.444843962008141,27.2998643147897,1.8042,2.4018499,0.0660474246685181,0.99779356,0,0.101629991,1,5.5016539,9.0336294,1.3427315,2.4343032,"coarse",133,10
"39","SISBEL","perennial","Iridaceae","Native","Forb",5.4,0.604421289140548,0,17.1212853346219,0.461060507482108,26.9290826284971,3.315775,2.02296035,0.0113789787810636,0.994725625,0,NA,0,5.2302272,NA,1.69060085,2.5712768,"coarse",115,5
"40","TAECAP","annual","Poaceae","Non-Native","Grass",2.11,0.323885852541531,1,26.4853942455524,0.388742746615087,14.6776273372018,3.471825,7.7195984,0.172399775421879,0.98508456,1,1.7594912,0,15.625318,30.287136,1.2275138,6.6599675,"elong_long",121,9
"41","THYCUR","annual","Brassicaceae","Native","Forb",1.625,0.827911289699405,0,36.3284031085485,0.445615006150062,12.2662976629766,0.64705,2.07293722222222,0.0639266464390393,0.990131188888889,1,0.431660166666667,0,5.01739411111111,18.8748977777778,1.58055311111111,2.331881,"flat",79,3
"42","TRIALB","annual","Fabaceae","Native","N-fixer",2.4,0.27115815090081,0,9.15456202004425,0.457014294996751,49.9220272904483,1.92219722222222,2.2556118,0.0790521366143158,0.99359215,1,0.132569775,0,5.0053309,16.015394,0.95276329,1.709668,"balloon",24,3
"43","TRIFUC","annual","Fabaceae","Native","N-fixer",1.4,0.112119387579563,0,15.6320550388585,0.416624787775891,26.6519524617997,5.813,2.5702451,0.027876066852338,0.98742135,1,0.87382758,0,7.0172122,7.5072708,2.3663981,4.4501243,"balloon",76,5
"44","TRIGRA","annual","Fabaceae","Native","N-fixer",2,0.233614316175445,0,12.6807862407862,0.397250615763547,31.3269704433498,1.254525,1.9143896,0.056927602072455,0.9878014,1,NA,0,4.3228865,NA,1.0679811,1.4901173,"balloon",115,3
"45","TRIWIL","annual","Fabaceae","Native","N-fixer",0.8,0.764032418090811,0,10.0903662775154,0.412323379461034,40.8630735615441,2.242575,2.0030186,0.0326135258038997,0.99378975,1,0.204131456,0,5.0008993,15.940127,1.542147,2.3200112,"balloon",91,5
"46","UROLIN","annual","Asteraceae","Native","Forb",7.1,0.980108239848034,0,20.4140722291407,0.443190266982089,21.7100371747212,2.092575,12.0424825,0.205705343337396,0.7057840875,1,1.76554375,0,24.40624875,13.35088,0.6979545,3.647232625,"elong_short",103,3
"47","VICVIL","annual","Fabaceae","Non-Native","N-fixer",8,0.127443778798192,0,13.9217009787378,0.392607868020305,28.2011421319797,44.17595,4.3383964,0.0109056144086614,0.99716154,0,0.10652205,0,12.000385,4.058337,4.0370574,13.8503527,"coarse",8,3
"48","VIODOU","perennial","VIOLACEAE","Native","Forb",4,0.516139494155311,0,11.7572475953454,0.522243800418285,44.4188825814162,4.79637777777778,3.6515207,0.0529643099062228,0.98702186,0,1.08106285,0,8.3976109,38.127236,1.9852929,5.3748692,"smooth",31,4
"49","VULMIC","annual","Poaceae","Native","Grass",1.2,0.841274196006706,1,16.4332819357134,0.443214971209213,26.9705694177863,0.820125,9.62118588888889,0.19062819918567,0.742833644444444,1,0.207125355555556,0,18.9370944444444,37.7330844444444,1.08324506666667,4.39559666666667,"elong_long",99,5
"50","ZIGFRE","perennial","MELANTHIACEAE","Native","Forb",0.7,1.89840844501142,1,21.8346744696416,0.547669724770642,25.0825688073394,0.113577759197324,1.02366662,0.0458173951867573,0.96966174,0,0.45862807,0,2.4572429,10.4153802,0.58495235,0.44577833,"coarse",66,5
"51","RIGLEP","annual","Asteraceae","Native","Forb",1.8,0.718361425808234,0,14.968,0.472940813810111,31.596794081381,0.7238,5.3487687,0.179505174671448,0.90467484,1,NA,0,10.9058157,NA,0.62926691,2.0327098,"elong_short",61,2
"52","SIDDIP","annual","Malvaceae","Native","Forb",1,3.39854977061665,0,15.9110717840947,0.436444174757282,27.4302184466019,4.93715,2.8272697,0.0141581766228091,0.98161251,2,0.4222893,1,7.280884,20.92946,2.2068658,4.5304431,"balloon",36,5
"53","ANCFIL","annual","Asteraceae","Native","Forb",2.2,0.762777218510724,0,8.68064960088081,0.496955562559092,57.2486605735897,0.364233333333333,2.2467486,0.0908981674373994,0.96188142,0,0.30288033,0,4.9299958,11.898513,1.08570697,1.57043591,"smooth",NA,NA
"54","ATHPUS","annual","Brassicaceae","Native","Forb",1.4,0.943845105609811,0,17.7886990801577,0.450639147802929,25.3328894806924,0.35224,3.02816233333333,0.112500573347027,0.988873509523809,1,0.203849686666667,0,7.36676976190476,35.7810395238095,2.2157284952381,4.66164233333333,"balloon",NA,NA
"55","BROMAD","annual","Poaceae","Non-Native","Grass",1.1,0.767162989351868,1,15.1281943862589,0.421435478492831,27.8576192064021,1.35485333333333,9.8378342,0.192811177830355,0.97034335,1,1.6623597,0,19.844064,24.772517,0.93060596,6.357938,"elong_long",NA,NA
"56","CASATT","annual","Orobanchaceae","Native","Forb",1.15,0.543912683447565,0,13.6512120932805,0.58631037212985,42.9493269992082,0.167055,1.3161426,0.0301118150033316,0.93783108,0,0.33230081,0,3.2061593,13.748108,0.9350374,0.77137323,"other",NA,NA
"57","CENTRI","annual","Asteraceae","Native","Forb",0.75,0.255573898483512,0,11.5026589166461,0.542019230769231,47.1212121212121,0.0376137927170868,0.49632319,0.0197124473467112,0.98924919,0,0.09161803,0,1.1942777,10.4924025,0.37224239,0.138053818,"coarse",NA,NA
"58","EPIBRA","annual","Onagraceae","Native","Forb",1.1,2.23050305397541,0,12.0193064809207,0.540336963921035,44.9557522123894,0.953675,2.4683216,0.0718922368788964,0.97973164,1,0.34863844,1,5.6257347,11.1111555,1.3028486,2.3206004,"elong_long",NA,NA
"59","ERILAN","perennial","Asteraceae","Native","Forb",6.2,4.0609001384094,0,14.1387151310228,0.547499181669394,38.7234042553191,0.174602777777778,2.6588743,0.124306937339838,0.87589565,1,1.27721532,0,5.6501077,12.0670282,0.71346458,1.19358635,"elong_short",NA,NA
"60","EUPCRE","annual","Euphorbiaceae","Native","Forb",2.9,0.884336677814939,0,16.0309635173059,0.49744847605225,31.0304789550073,0.7176,1.8966638,0.0177933811316605,0.9960649,0,0.380006178,0,4.6884814,14.3416118,1.4978324,2.0992822,"coarse",NA,NA
"61","FILCAL","annual","Asteraceae","Native","Forb",0.416666666666667,0.332958196168643,0,9.81630155427732,0.503667189952904,51.309262166405,0.0292324637681159,0.67358149,0.0770205754253072,0.95432226,0,0.50188432,0,1.4956167,20.89815,0.34122222,0.15631697,"smooth",NA,NA
"62","LEPNIT","annual","Brassicaceae","Native","Forb",3,16.1116861234806,0,12.1839416058394,0.457175897748022,37.522824102252,1.038625,2.0163131,0.0675770111232029,0.98770284,0,0.63310104,1,4.7261489,20.332375,1.2053563,1.8294586,"smooth",NA,NA
"63","MICCAL","annual","Asteraceae","Native","Forb",5.3,0.914952863421344,0,22.1521121760738,0.438681898066784,19.8031634446397,0.745175,2.5658136,0.0683423714286345,0.96387469,1,1.69248462,0,6.1331366,37.932685,1.6839538,2.8926496,"elong_long",NA,NA
"64","NAVJEP","annual","Polemoniaceae","Native","Forb",2.8,1.13920698272968,0,13.2424995714041,0.473741183685986,35.7743023612389,0.670225,2.1847085,0.07445128279767,0.98666127,1,0.80341907,0,4.5754794,37.832402,0.94390033,1.4268834,"balloon",NA,NA
"65","SILGAL","annual","Caryophyllaceae","Native","Forb",1.8,0.342256346697195,1,16.3532254167673,0.46760621761658,28.594127806563,0.264463888888889,0.90401724,0.0172385670557757,0.97101484,0,0.051207103,0,2.3929869,9.9715766,0.66471857,0.47071834,"coarse",NA,NA
"66","TRIHIR","annual","Fabaceae","Non-Native","N-fixer",5.1,0.0997706206403822,0,12.879504950495,0.415070197830249,32.2271857051691,2.65935,2.0118817,0.0221950011295135,0.99692689,1,0.184193979,0,4.9056229,32.910379,1.5421471,2.292911,"balloon",NA,NA
"67","VELRIG","annual","Caryophyllaceae","Non-Native","Forb",1.2,0.438415985929386,0,12.9515067544164,0.402631012203877,31.0875807609476,0.166146111111111,1.542147,0.0973847171370818,0.97551632,0,0.087415251,0,3.3213771,8.0841766,0.54063778,0.63803251,"coarse",NA,NA
