,Species,code,family,annual,Functional.group,origin,Abbreviation
53,Erodium brachycarpum,EROBRA,Geraniaceae,annual,Forb,Non-Native,EROBRA
54,Erodium cicutarium,EROCIC,Geraniaceae,annual,Forb,Non-Native,EROCIC
55,Euphorbia crenulata,EUPCRE,Euphorbiaceae,annual,Forb,Native,EUPCRE
56,Filago californica,FILCAL,Asteraceae,annual,Forb,Native,FILCAL
57,Filago gallica,FILGAL,Asteraceae,annual,Forb,Non-Native,FILGAL
58,Fritillaria purdyi,FRIPUR,LILIACEAE,bulb,Forb,Native,FRIPUR
59,Galium aparine,GALAPA,Rubiaceae,annual,Forb,Native,GALAPA
60,Galium_lump,GALIUMSP,Rubiaceae,annual,Forb,NA,GALIUMSP
61,Galium murale,GALMUR,Rubiaceae,annual,Forb,Non-Native,GALMUR
62,Gastridium ventricosum,GASVEN,Poaceae,annual,Grass,Non-Native,GASVEN
63,Geranium dissectum,GERDIS,Geraniaceae,annual,Forb,Non-Native,GERDIS
64,Gilia capitata,GILCAP,Polemoniaceae,annual,Forb,Native,GILCAP
65,Gilia tricolor,GILTRI,Polemoniaceae,annual,Forb,Native,GILTRI
66,Hemizonia congesta,HEMCON,Asteraceae,annual,Forb,Native,HEMCON
67,Hesperolinon californicum,HESCAL,Linaceae,annual,Forb,Native,HESCAL
68,Holocarpa virgata,HOLVIR,Asteraceae,annual,Forb,Native,HOLVIR
69,Hordeum brachyantherum,HORBRA,Poaceae,perennial,Grass,Native,HORBRA
70,Hypochaeris glabra,HYPGLA,Asteraceae,annual,Forb,Non-Native,HYPGLA
71,Juncus bufonius,JUNBUF,JUNCACEAE,annual,Grass,Native,JUNBUF
72,Lactuca serriola,LACSER,Asteraceae,annual,Forb,Non-Native,LACSER
73,Lagophylla minor,LAGMIN,Asteraceae,annual,Forb,Native,LAGMIN
74,Lasthenia californica,LASCAL,Asteraceae,annual,Forb,Native,LASCAL
75,Lepidium nitidum,LEPNIT,Brassicaceae,annual,Forb,Native,LEPNIT
76,Lessingia ramulosa,LESRAM,Asteraceae,annual,Forb,Native,LESRAM
77,Linanthus bicolor,LINBIC,Polemoniaceae,annual,Forb,Native,LINBIC
78,Linanthus dichotomus,LINDIC,Polemoniaceae,annual,Forb,Native,LINDIC
79,Linanthus jepsonii,LINJEP,Polemoniaceae,annual,Forb,Native,LINJEP
80,Lolium multiflorum,LOLMUL,Poaceae,annual,Grass,Non-Native,LOLMUL
81,Lomatium marginatum,LOMMAR,Apiaceae,perennial,Forb,Native,LOMMAR
82,Lotus humistratus,LOTHUM,Fabaceae,annual,N-fixer,Native,LOTHUM
83,Lotus wrangelianus,LOTWRA,Fabaceae,annual,N-fixer,Native,LOTWRA
84,Lupinus bicolor,LUPBIC,Fabaceae,annual,N-fixer,Native,LUPBIC
85,Lupinus microcarpus,LUPMIC,Fabaceae,annual,N-fixer,Native,LUPMIC
86,Lupinus nanus,LUPNAN,Fabaceae,annual,N-fixer,Native,LUPNAN
87,Madia sp.,MADSP.,Asteraceae,annual,Forb,Native,MADSP.
88,Medicago polymorpha,MEDPOL,Fabaceae,annual,N-fixer,Non-Native,MEDPOL
89,Melica californica,MELCAL,Poaceae,perennial,Grass,Native,MELCAL
90,Micropus californicus,MICCAL,Asteraceae,annual,Forb,Native,MICCAL
91,Microseris douglasii,MICDOU,Asteraceae,annual,Forb,Native,MICDOU
92,Mimulus douglasii,MIMDOU,PHRYMACEAE,annual,Forb,Native,MIMDOU
93,Mimulus guttatus,MIMGUT,PHRYMACEAE,perennial,Forb,Native,MIMGUT
94,Minuartia californica,MINCAL,Caryophyllaceae,annual,Forb,Native,MINCAL
95,Montia fontana,MONFON,MONTIACEAE,annual,Forb,Native,MONFON
96,Nassella pulchra,NASPUL,Poaceae,perennial,Grass,Native,NASPUL
97,Navarretia jepsonii,NAVJEP,Polemoniaceae,annual,Forb,Native,NAVJEP
98,Navarretia pubescens,NAVPUB,Polemoniaceae,annual,Forb,Native,NAVPUB
99,Nemophila pedunculata,NEMPED,Boraginaceae,annual,Forb,Native,NEMPED
100,Petrorhagia prolifera,PETPRO,Caryophyllaceae,annual,Forb,Non-Native,PETPRO
101,Phlox gracilis,PHLGRA,Polemoniaceae,annual,Forb,Native,PHLGRA
102,Plantago erecta,PLAERE,Plantaginaceae,annual,Forb,Native,PLAERE
103,Plagiobothrys nothofulvus,PLANOT,Boraginaceae,annual,Forb,Native,PLANOT
104,Plectritis ciliosa ,PLECIL,VALERIANACEAE,annual,Forb,Native,PLECIL
105,Poa secunda,POASEC,Poaceae,annual,Grass,Native,POASEC
106,Polypogon monspeliensis,POLMON,Poaceae,annual,Grass,Non-Native,POLMON
107,Ranunculus californicus,RANCAL,Ranunculaceae,perennial,Forb,Native,RANCAL
108,Ranunculus occidentalis,RANOCC,Ranunculaceae,perennial,Forb,Native,RANOCC
109,Rigiopappus leptocladus,RIGLEP,Asteraceae,annual,Forb,Native,RIGLEP
110,Sagina apetala,SAGAPE,Caryophyllaceae,annual,Forb,Non-Native,SAGAPE
111,Sagina californica,SAGCAL,Caryophyllaceae,NA,Forb,Native,SAGCAL
112,Sanicula sp.,SANSP.,APIACEAE,perennial,Forb,Native,SANSP.
113,Senecio vulgaris,SENVUL,Asteraceae,annual,Forb,Non-Native,SENVUL
114,Sidalcea diploscypha,SIDDIP,Malvaceae,annual,Forb,Native,SIDDIP
115,Silene gallica,SILGAL,Caryophyllaceae,annual,Forb,Native,SILGAL
116,Sisyrinchium bellum,SISBEL,Iridaceae,perennial,Forb,Native,SISBEL
117,Sonchus sp.,SONSP.,Asteraceae,NA,Forb,Non-Native,SONSP.
118,Stellaria nitens,STENIT,Caryophyllaceae,annual,Forb,Native,STENIT
119,Streptanthus breweri,STRBRE,Brassicaceae,annual,Forb,Native,STRBRE
120,Taeniatherum caput-medusae,TAECAP,Poaceae,annual,Grass,Non-Native,TAECAP
121,Thysanocarpus curvipes,THYCUR,Brassicaceae,annual,Forb,Native,THYCUR
122,Torilis arvensis,TORARV,APIACEAE,annual,Forb,Non-Native,TORARV
123,Trifolium albopurpureum,TRIALB,Fabaceae,annual,N-fixer,Native,TRIALB
124,Trifolium bifidum,TRIBIF,Fabaceae,annual,N-fixer,Native,TRIBIF
125,Trifolium dubium,TRIDUB,Fabaceae,annual,N-fixer,Non-Native,TRIDUB
126,Trifolium fucatum,TRIFUC,Fabaceae,annual,N-fixer,Native,TRIFUC
127,Trifolium gracilentum,TRIGRA,Fabaceae,annual,N-fixer,Native,TRIGRA
128,Trifolium hirtum,TRIHIR,Fabaceae,annual,N-fixer,Non-Native,TRIHIR
129,Trifolium microcephalum,TRIMIC,Fabaceae,annual,N-fixer,Native,TRIMIC
130,Trifolium_lump,TRISP,Fabaceae,annual,N-fixer,NA,TRISP
131,Trifolium subterraneum,TRISUB,Fabaceae,annual,N-fixer,Non-Native,TRISUB
132,Trifolium willdenovii ,TRIWIL,Fabaceae,annual,N-fixer,Native,TRIWIL
133,Uropappus lindleyi,UROLIN,Asteraceae,annual,Forb,Native,UROLIN
134,Velezia rigida,VELRIG,Caryophyllaceae,annual,Forb,Non-Native,VELRIG
135,Vicia villosa,VICVIL,Fabaceae,annual,N-fixer,Non-Native,VICVIL
136,Viola douglasii,VIODOU,VIOLACEAE,perennial,Forb,Native,VIODOU
137,Vulpia microstachys,VULMIC,Poaceae,annual,Grass,Native,VULMIC
138,Vulpia myuros,VULMYU,Poaceae,annual,Grass,Non-Native,VULMYU
139,Zigadenus fremontii,ZIGFRE,MELANTHIACEAE,perennial,Forb,Native,ZIGFRE
140,Minuartia douglasii,MINDOU,Caryophyllaceae,Annual,Forb,Native,MINDOU
141,Triteleia laxa,TRILAX,LILIACEAE,perennial,Forb,Native,TRILAX
142,Pseudognaphalium luteoalbum,PSELUT,Asteraceae,annual,Forb,Native,PSELUT
143,Draba verna,DRAVER,Brassicaceae,annual,Forb,Non-Native,DRAVER
144,Epilobium cilliatum,EPICIL,Onagraceae,annual,Forb,Native,EPICIL
145,Hesperolinon micranthum,HESMIC,Linaceae,annual,Forb,Native,HESMIC
