"","Fullname","Abbreviation","Family","Life History","Functional.group","Origin","meanabund","InSeedbank","TraitData"
"83","Plectritis ciliosa ","PLECIL","VALERIANACEAE","annual","Forb","Native",4.27777777777778,"Yes","No"
"84","Poa secunda","POASEC","Poaceae","annual","Grass","Native",0.588888888888889,"Yes","No"
"85","Pseudognaphalium luteoalbum","PSELUT","Asteraceae","annual","Forb","Native",0.2,"Yes","No"
"86","Ranunculus occidentalis","RANOCC","Ranunculaceae","perennial","Forb","Native",0.0111111111111111,"Yes","No"
"87","Rigiopappus leptocladus","RIGLEP","Asteraceae","annual","Forb","Native",0,"Yes","Yes"
"88","Sagina apetala","SAGAPE","Caryophyllaceae","annual","Forb","Non-Native",4.64444444444444,"Yes","No"
"89","Senecio vulgaris","SENVUL","Asteraceae","annual","Forb","Non-Native",0.0333333333333333,"Yes","No"
"90","Sidalcea diploscypha","SIDDIP","Malvaceae","annual","Forb","Native",0.0444444444444444,"Yes","Yes"
"91","Silene gallica","SILGAL","Caryophyllaceae","annual","Forb","Native",0.155555555555556,"Yes","Yes"
"92","Sisyrinchium bellum","SISBEL","Iridaceae","perennial","Forb","Native",0.1,"Yes","Yes"
"93","Stellaria nitens","STENIT","Caryophyllaceae","annual","Forb","Native",6.73333333333333,"Yes","No"
"94","Taeniatherum caput-medusae","TAECAP","Poaceae","annual","Grass","Non-Native",0.944444444444444,"Yes","Yes"
"95","Thysanocarpus curvipes","THYCUR","Brassicaceae","annual","Forb","Native",0.0444444444444444,"Yes","Yes"
"96","Torilis arvensis","TORARV","APIACEAE","annual","Forb","Non-Native",0.0111111111111111,"Yes","No"
"97","Trifolium albopurpureum","TRIALB","Fabaceae","annual","N-fixer","Native",0,"Yes","Yes"
"98","Trifolium fucatum","TRIFUC","Fabaceae","annual","N-fixer","Native",0.911111111111111,"Yes","Yes"
"99","Trifolium gracilentum","TRIGRA","Fabaceae","annual","N-fixer","Native",0.522222222222222,"Yes","Yes"
"100","Trifolium hirtum","TRIHIR","Fabaceae","annual","N-fixer","Non-Native",1.24444444444444,"Yes","Yes"
"101","Trifolium willdenovii ","TRIWIL","Fabaceae","annual","N-fixer","Native",0,"Yes","Yes"
"102","Trifolium_lump","TRISP","Fabaceae","annual","N-fixer",NA,0.286111111111111,"Yes","No"
"103","Triteleia laxa","TRILAX","LILIACEAE","perennial","Forb","Native",0,"Yes","No"
"104","Uropappus lindleyi","UROLIN","Asteraceae","annual","Forb","Native",0.0444444444444444,"Yes","Yes"
"105","Velezia rigida","VELRIG","Caryophyllaceae","annual","Forb","Non-Native",5.4,"Yes","Yes"
"106","Vicia villosa","VICVIL","Fabaceae","annual","N-fixer","Non-Native",2.18888888888889,"Yes","Yes"
"107","Viola douglasii","VIODOU","VIOLACEAE","perennial","Forb","Native",0,"Yes","Yes"
"108","Vulpia microstachys","VULMIC","Poaceae","annual","Grass","Native",1.01111111111111,"Yes","Yes"
"109","Vulpia myuros","VULMYU","Poaceae","annual","Grass","Non-Native",0.161111111111111,"Yes","No"
"110","Zigadenus fremontii","ZIGFRE","MELANTHIACEAE","perennial","Forb","Native",0,"Yes","Yes"
