"","X","SCT","mass","SCP","C","N","cn","L","area","Fit_shape","Intensity","P","texture_1","Fit_rect","Fit_compact","germ_is_disp","lump_dispcat","mucilage","starch","annual","family","Functional.group","nat.inv","how3d","SCTmm","SCTperL","SCPpc","SA_2D"
"16","ERINUD",1.48323969741913,-0.0043092715880984,0.546795624140667,0.421308030112923,25.0062735257215,16.8480933266433,1.06560840293529,0.76562606218026,-2.57309223876675,15.398703,1.7995165385548,-0.51356219810559,0.64354775,2.58996649672405,0,"smooth",0,1,"shrub","polygonaceae","Forb","native",0,0.0275,0.0973357595681651,-0.325967198496103,1.03389047637454
"17","FRIPUR",0.948683298050514,1.67883803431668,0.958014100099059,0.454314349347757,30.2131721285396,15.0369629317607,2.03858246313864,3.42755748127176,-2.37992061726922,19.242952,2.93858429495371,-2.69569719463077,0.76268121,2.62452810405701,0,"flat",0,0,"bulb","LILIACEAE","Forb","native",0.63908138930938,0.01125,0.0382739869010736,0.470304461433783,-0.488973186318048
"18","GALAPA",1.04163333279998,-1.89472286028616,0.582973793940592,0.47180349062702,26.0116354234001,18.1381709741551,-0.0391294901142292,-0.806172910162663,-3.51415682184475,12.6964889,0.842464886072897,-0.461375661438228,0.84598626,2.66112485173871,0,"elong_short",0,0,"annual","Rubiaceae","Forb","native",0,0.0135625,0.118759055897733,-0.232481373593262,1.64863779623556
"19","GALMUR",1,-1.92751046620995,0.659040419994898,0.457488702388638,27.0916720464816,16.886691290361,0.0903613728158217,-0.583909261754773,-3.23408747410925,18.059156,0.987853152573435,-0.244986442283546,0.83411066,2.63518808776017,0,"elong_short",0,0,"annual","Rubiaceae","Forb","invasive",0,0.0125,0.10686445708545,-0.0697245566789078,1.57176241432821
"20","GILCAP",1.84390889145858,0.263248488810514,1.94642709890367,0.483361618798956,25.4895561357702,18.9631241997439,0.748489688306634,0.707822913253542,-2.99409267546784,13.222789,1.58766840690048,-0.894615740898308,0.78267735,2.6957116699962,0,"coarse",1,0,"annual","Polemoniaceae","Forb","native",0.239187267398149,0.0425,0.141795351759443,1.78074073040443,0.879845493646936
"21","GILTRI",0.547722557505166,-0.957568559437174,1.94542973642411,0.448650154798762,28.4613003095975,15.7635157184815,0.301284858625074,-0.167471668202674,-3.39952861921195,18.732731,1.16161228313025,-0.503125100711392,0.78919758,2.66097160197137,0,"coarse",1,0,"annual","Polemoniaceae","Forb","native",0,0.00375,0.0526735341004021,1.78484226799345,1.32908395133292
"22","HOLVIR",2.96647939483827,0.64257730864977,0.503832245799419,0.556614654002714,42.072591587517,13.2298637426429,1.2504712588193,1.32735323861044,-2.67588103869234,8.0783162,2.07178169229508,-1.30020301723095,0.72514003,2.59688938916408,0,"coarse",0,0,"annual","Asteraceae","Forb","native",0.0380669930815803,0.11,0.177484306864805,-0.436417162375974,0.744428453684639
"23","HYPGLA",1.89736659610103,-0.610968294602301,0.406756954125582,0.489033834586466,33.1315789473684,14.7603540224668,1.54321663225137,0.549988566019796,-1.7634817586316,13.89008905,2.25767855975798,-1.13837098448866,NA,2.54506344763454,1,"elong_long",0,0,"annual","Asteraceae","Forb","invasive",0,0.045,0.098062062422301,-0.69910604060618,1.70768999373818
"24","LACSER",0.806225774829855,-0.498403103767433,0.807177184167367,0.57010355540214,43.8280980324474,13.0077183586674,1.27243634374138,0.970596438388775,-2.0342974775446,20.6608395,1.98844255655639,-2.33509289225609,0.695229945,2.66143964150888,0,"elong_long",0,0,"annual","Asteraceae","Forb","invasive",0.5026039656554,0.008125,0.047709585506875,0.215874396556447,1.01784611816761
"25","LAGMIN",1.09544511501033,-1.09654775461923,0.615361026183721,0.512894736842105,49.0853658536585,10.4490356325597,0.881759036872278,0.40109269636601,-2.21095917177849,11.8666457,1.64530473835931,-1.55553064395559,0.70923461,2.57148452930381,0,"smooth",0,0,"annual","Asteraceae","Forb","native",0.373175669020514,0.015,0.0788086861883931,-0.17003949713591,1.2442120419933
"26","LASCAL",0.974679434480896,-1.63951059669039,0.70149777830481,0.470237654320988,42.1111111111111,11.166593374377,1.21721132052712,0.0898811460014157,-1.90902869353915,13.89008905,1.99320057996534,-1.13837098448866,NA,2.26921623284771,0,"elong_long",0,0,"annual","Asteraceae","Forb","native",0,0.011875,0.0592929050717908,-0.0553490477977027,1.90331943396393
"27","LINDIC",1.18321595661992,-1.45703876564565,0.509019385370324,0.535685295035904,31.0615048392132,17.2459543672731,0.27470533765457,-0.445986101058937,-2.97528883008141,11.835427,1.09642630113739,-1.58441937247602,0.7694816,2.5918348728539,0,"coarse",0,0,"annual","Polemoniaceae","Forb","native",0,0.0175,0.1153101449846,-0.408098173387182,1.54241240219633
"28","LOLMUL",1.54919333848297,0.809284418188988,0.38351347868754,0.416038961038961,17.1969696969697,24.1925739458779,1.69860791086434,1.7393187985898,-1.97339010387793,30.3076164705882,2.43274875573566,1.06366243924159,0.769973841176471,2.68946621591085,0,"elong_long",0,1,"annual","Poaceae","Grass","invasive",0.473045638929422,0.03,0.0740819842261893,-0.763451001845815,0.693429957145867
"29","LOMMAR",2.14476105895272,1.81533763992046,0.813148610320126,0.446851680542707,35.5164970706136,12.5815245702379,2.22780449775705,3.69118087880336,-3.1961209221591,27.825987,3.1013612581708,0.0929242357021013,0.79837748,2.71316244932824,0,"flat",0,0,"perennial","Apiaceae","Forb","native",0,0.0575,0.0787176865925436,0.197062250403681,-0.589819620632561
"30","LOTHUM",1.61245154965971,1.12824390379271,0.15004447337741,0.412008059100067,31.124916051041,13.2372424209731,0.883592152888319,1.33596055364594,-3.37275459263362,11.572741,1.85925698322508,-1.10593791567203,0.80687543,2.70068455563839,0,"smooth",0,0,"annual","Fabaceae","N-fixer","native",0.394444748538495,0.0325,0.115896970108678,-1.81119325937621,0.523296429579143
"31","MEDPOL",1.26885775404495,1.17658362175655,0.270239619691807,0.514376801152738,57.6512968299712,8.92220694826294,1.13490657657705,1.48495723254919,-2.65414607075966,23.687946,1.99162269786751,-2.61600712064137,0.7926178,2.65735583125644,1,"elong_short",0,0,"annual","Fabaceae","N-fixer","invasive",0.37017929740771,0.020125,0.0804314897333404,-1.14603016871309,0.50666546531832
"32","MICDOU",2.68328157299975,0.598612116942107,0.734721876952602,0.503683473389356,23.3648459383754,21.5573205454818,1.82927398864928,1.21328479852946,-1.79332723989442,13.89008905,2.59469452876439,-1.13837098448866,NA,2.4905274117614,1,"elong_long",0,0,"annual","Asteraceae","Forb","native",0,0.09,0.120198612687306,0.0811796085706765,1.38140973023494
"33","MIMDOU",0.836660026534076,1.26415497533427,0.72279700631419,0.460810606060606,15.8143939393939,29.1386826347305,-0.0208641403018092,-0.825711726445732,-2.82115488882226,17.319935,0.81145461203014,-2.44453292468547,0.809534,2.66707885048752,1,"coarse",0,0,"annual","PHRYMACEAE","Forb","native",0.326008921198968,0.00875,0.0945223731914511,0.0533250697852611,1.63716633847587
"34","MIMGUT",1.18321595661992,-3.58045017367417,0.260985872593413,0.552800949474398,45.0356052899288,12.274753407123,-0.598745249452261,-1.89167874863159,-3.71163513164408,10.8619017,0.273020210748127,-2.40521132798441,0.90179714,2.67060022361542,0,"coarse",0,0,"perennial","PHRYMACEAE","Forb","native",0,0.0175,0.178457540518692,-1.24214399146524,2.16469895937972
"35","NASPUL",0.948683298050514,1.52825677922226,0.222642604399213,0.406909265790317,31.6575825585123,12.8534535142799,1.84008928936019,1.66270144662389,-1.84705579965726,20.11833,2.55102236400242,-0.30893763314468,0.78258047,2.69248206787938,0,"elong_long",0,1,"perennial","Poaceae","Grass","native",0,0.01125,0.0422674403989448,-1.38930676057088,0.888320917378536
"36","PETPRO",0.974679434480896,-1.43478775114931,0.393299396549162,0.257239215686275,12.5372549019608,20.5179856115108,0.186775124920807,-0.672971407205142,-3.12260612094121,8.300277,0.990325309906023,-1.63019970968674,0.67824619,2.43686427593443,0,"elong_short",0,1,"annual","Caryophyllaceae","Forb","invasive",0.148190908514653,0.011875,0.0992565340831289,-0.727857549673141,1.66329671711116
"37","PHLGRA",1.09544511501033,0.736458075197072,1.97968485187731,0.470654652445752,29.5991173225451,15.9009691848907,1.03931136953725,1.29915109361491,-2.49396550253776,18.122561,1.87501073167237,-1.46488190172943,0.77648109,2.70340302762697,0,"coarse",1,1,"annual","Polemoniaceae","Forb","native",0.532379874862224,0.015,0.0728386743542292,1.82947733441675,0.575859638057463
"38","PLAERE",2.28035085019828,0.590117280240401,2.86128213885933,0.444843962008141,27.2998643147897,16.294731610338,0.876239232113229,0.88966055541865,-2.71738223940957,9.0336294,1.70504875612542,-2.28641660038899,0.79586213,2.71229071464862,0,"coarse",1,0,"annual","Plantaginaceae","Forb","native",0.289044889724501,0.065,0.164506759143951,2.80064501142519,0.815388200706768
"39","SISBEL",2.32379000772445,1.1986913821362,0.472395971708225,0.461060507482108,26.9290826284971,17.1212853346219,0.704561958388986,0.944402584876749,-4.47598759235427,13.89008905,1.65445471881587,-1.13837098448866,NA,2.70398233433705,0,"coarse",0,0,"perennial","Iridaceae","Forb","native",0,0.0675,0.182666202868535,-0.503483825609336,0.71005213393912
"40","TAECAP",1.4525839046334,1.24468039230201,0.281016342047091,0.388742746615087,14.6776273372018,26.4853942455524,2.04376234195817,1.89611460466051,-1.75793922341071,30.287136,2.74889254741537,0.565024676346138,0.73083986,2.67803832976797,1,"elong_long",0,1,"annual","Poaceae","Grass","invasive",0.39202099709946,0.026375,0.0584519333529327,-1.12736413223507,0.852777942754855
"41","THYCUR",1.2747548783982,-0.435331707714458,0.602266869977834,0.445615006150062,12.2662976629766,36.3284031085485,0.728966549455396,0.846675238026694,-2.750019002344,18.8748977777778,1.61291069755159,-0.840116651545037,0.788750688888889,2.69158755556922,1,"flat",0,0,"annual","Brassicaceae","Forb","native",0.519322503068459,0.0203125,0.0989893822921152,-0.188849268380765,0.766235459524892
"42","TRIALB",1.54919333848297,0.65346891830259,0.240052276447914,0.457014294996751,49.9220272904483,9.15456202004425,0.813421244361218,0.536299199617836,-2.53764768704783,16.015394,1.61050352446787,-2.02064616838938,0.85328673,2.70091917429625,1,"balloon",0,0,"annual","Fabaceae","N-fixer","native",0,0.03,0.115326323788405,-1.30505304566076,1.07420432485003
"43","TRIFUC",1.18321595661992,1.76009678871921,0.103145762001439,0.416624787775891,26.6519524617997,15.6320550388585,0.944001264009538,1.49293202837231,-3.57998677720462,7.5072708,1.94836601665657,-0.134872199676118,0.78808843,2.68430366048664,1,"balloon",0,0,"annual","Fabaceae","N-fixer","native",0.275715983933303,0.0175,0.0825147815794124,-2.18819101488774,0.455433988284261
"44","TRIGRA",1.4142135623731,0.226757014884045,0.215104156208671,0.397250615763547,31.3269704433498,12.6807862407862,0.649398825085779,0.398854841690946,-2.86597495753763,13.89008905,1.46392335042526,-1.13837098448866,NA,2.6853240239751,1,"balloon",0,0,"annual","Fabaceae","N-fixer","native",0.0996311498430359,0.025,0.114275950219371,-1.45408374490829,1.06506850873432
"45","TRIWIL",0.894427190999916,0.807624759207602,0.568374334123877,0.412323379461034,40.8630735615441,10.0903662775154,0.694655342711459,0.841572013252773,-3.42302817469738,15.940127,1.60961775626123,-1.58899110051253,0.80176218,2.70145292865829,1,"balloon",0,0,"annual","Fabaceae","N-fixer","native",0.26857965168444,0.01,0.0706573766337778,-0.269145058659796,0.768045743008457
"46","UROLIN",2.66458251889485,0.738395365033081,0.683247519653035,0.443190266982089,21.7100371747212,20.4140722291407,2.48844060633455,1.29396869509534,-1.58131050629991,13.35088,3.19483919582357,0.568458716594707,0.483914475,2.02543418009614,1,"elong_short",0,0,"annual","Asteraceae","Forb","native",0,0.08875,0.0858472067575622,-0.0200922645920171,1.90087050072823
"47","VICVIL",2.82842712474619,3.78818052335087,0.119452110983601,0.392607868020305,28.2011421319797,13.9217009787378,1.46750478674537,2.62831069801307,-4.51847753899351,4.058337,2.48493873260667,-2.23940327300943,0.81529379,2.71057703426833,0,"coarse",0,0,"annual","Fabaceae","N-fixer","invasive",0.197082093079117,0.1,0.151822236404596,-2.06007996223338,-0.143371965406399
"48","VIODOU",2,1.56786100340795,0.416530797369071,0.522243800418285,44.4188825814162,11.7572475953454,1.29514371096515,1.68173423883391,-2.93813699026008,38.127236,2.12794724872851,0.0779446775775171,0.76837513,2.68323152218584,0,"smooth",0,0,"perennial","VIOLACEAE","Forb","native",0.0789550748509378,0.05,0.117016773377422,-0.661378212524881,0.446213009894603
"49","VULMIC",1.09544511501033,-0.198298511317095,0.608640240118151,0.443214971209213,26.9705694177863,16.4332819357134,2.26396753035336,1.48060328225625,-1.65743034914794,37.7330844444444,2.94112266756539,-1.5744310866138,0.456596411111111,2.10188307317455,1,"elong_long",0,1,"annual","Poaceae","Grass","native",0.320823920504283,0.015,0.0394849258439208,-0.172837636467478,1.46051938530914
"50","ZIGFRE",0.836660026534076,-2.17526757357652,1.07245919914038,0.547669724770642,25.0825688073394,21.8346744696416,0.0233909072028181,-0.807933468453649,-3.08309145239952,10.4153802,0.899039949051535,-0.779515702407045,0.84320458,2.63705229916089,0,"coarse",0,1,"perennial","MELANTHIACEAE","Forb","native",0,0.00875,0.0924537977614091,0.641015874618469,1.70697341750518
"51","RIGLEP",1.34164078649987,-0.323240167852495,0.543338017891341,0.472940813810111,31.596794081381,14.968,1.67686638488674,0.709369779744966,-1.71755124321614,13.89008905,2.38929619740638,-1.13837098448866,NA,2.47112828033668,1,"elong_short",0,0,"annual","Asteraceae","Forb","native",0,0.0225,0.0648581191374551,-0.330782458023401,1.67992641766141
"52","SIDDIP",1,1.59678824163875,1.4681943333984,0.436444174757282,27.4302184466019,15.9110717840947,1.03931147564669,1.51081974928095,-4.25746296858371,20.92946,1.98525228340817,-0.862064654801078,0.78260476,2.66875617017102,0,"balloon",1,0,"annual","Malvaceae","Forb","native",0,0.0125,0.0664923048099098,1.22334880257496,0.474432534127225
"53","ANCFIL",1.48323969741913,-1.00996059107355,0.564629300779623,0.496955562559092,57.2486605735897,8.68064960088081,0.809484104433864,0.451353230504206,-2.39801543820655,11.898513,1.59533813612726,-1.19441750198131,0.69586934,2.61661479666721,0,"smooth",0,0,"annual","Asteraceae","Forb","native",0.323246244413756,0.0275,0.110634125421336,-0.27078927131444,1.14398490562305
"54","ATHPUS",1.18321595661992,-1.04344251753464,0.664663318624221,0.450639147802929,25.3328894806924,17.7886990801577,1.10795594488236,1.53936781809375,-2.18479696093263,35.7810395238095,1.99697931458637,-1.59037238679597,0.762167861904762,2.68820452926839,1,"balloon",0,0,"annual","Brassicaceae","Forb","native",0,0.0175,0.0760202770138512,-0.0577932093401852,0.457611496492623
"55","BROMAD",1.04880884817015,0.303693207390762,0.568428773989173,0.421435478492831,27.8576192064021,15.1281943862589,2.28623558521223,1.84970411094688,-1.64604392218773,24.772517,2.98790491958982,0.50823809900931,0.73446217,2.63885035309468,1,"elong_long",0,1,"annual","Poaceae","Grass","invasive",0.39983320063832,0.01375,0.0373853628040954,-0.265055997775891,1.13820080864294
"56","CASATT",1.07238052947636,-1.78943217946896,0.454000946645231,0.58631037212985,42.9493269992082,13.6512120932805,0.274705185695364,-0.259582936947331,-3.50283765921747,13.748108,1.16507374103779,-1.10171466606813,0.72807743,2.55443504043068,0,"other",0,0,"annual","Orobanchaceae","Forb","native",0,0.014375,0.104508701928927,-0.608966553377487,1.42465667798512
"57","CENTRI",0.866025403784439,-3.28038446826898,0.235966444211195,0.542019230769231,47.1212121212121,11.5026589166461,-0.700527971709654,-1.98011168434227,-3.92650499775749,10.4924025,0.177541567492465,-2.3901271926102,0.93903345,2.68921462495078,0,"coarse",0,0,"annual","Asteraceae","Forb","native",0,0.009375,0.137436901180503,-1.36424368030233,2.15765325183473
"58","EPIBRA",1.04880884817015,-0.0474323364348889,1.17851796284243,0.540336963921035,44.9557522123894,12.0193064809207,0.903538405495452,0.841825945300508,-2.63258699117071,11.1111555,1.72735155289464,-1.05371988232544,0.76246537,2.66374130438694,1,"elong_long",1,0,"annual","Onagraceae","Forb","native",0.31319299953581,0.01375,0.0746363645428652,0.802227144773952,0.88552560759413
"59","ERILAN",2.48997991959775,-1.74524172632302,1.8691283554065,0.547499181669394,38.7234042553191,14.1387151310228,0.977902837732403,0.176962514410011,-2.08500147076109,12.0670282,1.73167460692358,0.244682176775589,0.6965307,2.40102480908706,1,"elong_short",0,0,"perennial","Asteraceae","Forb","native",0,0.0775,0.170726897440915,1.40140465800767,1.55471209251357
"60","EUPCRE",1.70293863659264,-0.331842968237551,0.633575863911992,0.49744847605225,31.0304789550073,16.0309635173059,0.640096448045438,0.741595476775378,-4.02892873737209,14.3416118,1.545108734716,-0.967567768499127,0.79193708,2.70760613636994,0,"coarse",0,0,"annual","Euphorbiaceae","Forb","native",0,0.03625,0.138247990649873,-0.122917431595491,0.803513257940622
"61","FILCAL",0.645497224367903,-3.53247541438901,0.378780752167061,0.503667189952904,51.309262166405,9.81630155427732,-0.395146295647733,-1.8558694741918,-2.56368267950789,20.89815,0.40253863014567,-0.689385624092392,0.84412825,2.59690995660948,0,"smooth",0,0,"annual","Asteraceae","Forb","native",0.262562689130937,0.00520833333333334,0.0879334906617724,-1.09973833391323,2.25840810433747
"62","LEPNIT",1.73205080756888,0.0378977230030083,2.83608111679829,0.457175897748022,37.522824102252,12.1839416058394,0.701270645689837,0.604020076087439,-2.69448742591283,20.332375,1.55311068482785,-0.457125248722933,0.8004082,2.68505937148159,0,"smooth",1,0,"annual","Brassicaceae","Forb","native",0.350042958064205,0.0375,0.136375591729831,2.7795448548704,0.949090608740415
"63","MICCAL",2.30217288664427,-0.294136188858246,0.650001561185068,0.438681898066784,19.8031634446397,22.1521121760738,0.94227562131013,1.06217289871369,-2.68322533244877,37.932685,1.81370629934543,0.526197638613817,0.71686143,2.62183561796761,1,"elong_long",0,0,"annual","Asteraceae","Forb","native",0.395519319035392,0.06625,0.160686869502544,-0.088882730420088,0.751533400631734
"64","NAVJEP",1.67332005306815,-0.400141802076819,0.769667091195681,0.473741183685986,35.7743023612389,13.2424995714041,0.781482410036716,0.355492625275396,-2.59761028967591,37.832402,1.52071148012297,-0.218878820719297,0.73873037,2.68226415015408,1,"balloon",0,0,"annual","Polemoniaceae","Forb","native",0,0.035,0.126571892287926,0.130332391159669,1.16521885484757
"65","SILGAL",1.34164078649987,-1.33005056294423,0.292252544843406,0.46760621761658,28.594127806563,16.3532254167673,-0.100906847975346,-0.753495368087859,-4.06060613461544,9.9715766,0.87254233461121,-2.97187702609011,0.88186914,2.64062290977872,0,"coarse",0,1,"annual","Caryophyllaceae","Forb","native",0.0721735210062135,0.0225,0.157762181398824,-1.07219527094696,1.62603770269907
"66","TRIHIR",2.25831795812724,0.978081732030362,0.0930537175700253,0.415070197830249,32.2271857051691,12.879504950495,0.699070453292169,0.82982218934142,-3.80788818980569,32.910379,1.59038207781884,-1.69176584299159,0.79122663,2.70994107198443,1,"balloon",0,0,"annual","Fabaceae","N-fixer","invasive",0.120161096527515,0.06375,0.178007735081907,-2.30488152136461,0.760559888477419
"67","VELRIG",1.09544511501033,-1.79488769034705,0.363874726965783,0.402631012203877,31.0875807609476,12.9515067544164,0.433175601336751,-0.449366040822713,-2.32908598888855,8.0841766,1.20037948608378,-2.4370855149759,0.8576151,2.65253641508029,0,"coarse",0,0,"annual","Caryophyllaceae","Forb","invasive",0,0.015,0.0986240295552648,-0.82458707975815,1.6497455269065
