IDnum,Species_name,family,annual,MarinaSp,nat.inv,Functional.group,species_code,falsename,tolumpname
145,Madia sp.,Asteraceae,annual,no,native,Forb,Madsp.,,
44,Medicago polymorpha,Fabaceae,annual,yes,invasive,N-fixer,Medpol,,
146,Melica californica,Poaceae,perennial,no,native,Grass,Melcal,,
45,Micropus californicus,Asteraceae,annual,yes,native,Forb,Miccal,,
46,Microseris douglasii,Asteraceae,annual,yes,native,Forb,Micdou,,
47,Mimulus douglasii,PHRYMACEAE,annual,no,native,Forb,Mimdou,,
47,Mimulus douglassi,PHRYMACEAE,annual,no,native,Forb,Mimdou,,
48,Mimulus guttatus,PHRYMACEAE,perennial,no,native,Forb,Mimgut,,
147,Minuartia californica,Caryophyllaceae,annual,no,native,Forb,Mincal,,
148,Minuartia douglasii,Caryophyllaceae,annual,NA,native,Forb,Mindou,Mindou,NA
149,Montia fontana,MONTIACEAE,annual,no,native,Forb,Monfon,,
49,Nassella pulchra,Poaceae,perennial,no,native,Grass,Naspul,,
50,Navarretia jepsonii,Polemoniaceae,annual,no,native,Forb,Navjep,,
150,Navarretia pubescens,Polemoniaceae,annual,yes,native,Forb,Navpub,,
151,Nemophila pedunculata,Boraginaceae,annual,no,native,Forb,Nemped,,
51,Petrohagia prolifera,Caryophyllaceae,annual,no,invasive,Forb,Petpro,,
51,Petrorhagia prolifera,Caryophyllaceae,annual,no,invasive,Forb,Petpro,,
52,Phlox gracilis,Polemoniaceae,annual,no,native,Forb,Phlgra,,
53,Plantago erecta,Plantaginaceae,annual,yes,native,Forb,Plaere,,
53,Plantago erecta,Plantaginaceae,annual,yes,native,Forb,Plaere,,
152,Plagiobothrys nothofulvus,Boraginaceae,annual,yes,native,Forb,Planot,,
153,Plectritis ciliosa,VALERIANACEAE,annual,no,native,Forb,Plecil,,
154,Poa secunda,Poaceae,annual,yes,native,Grass,Poasec,,
155,Polypogon monspeliensis,Poaceae,annual,yes,invasive,Grass,Polmon,,
156,Pseudognaphalium luteoalbum/ Gnaphalium luteo-album,Asteraceae,annual,NA,invasive,Forb,Pselut,Pselut,NA
157,Ranunculus californicus,Ranunculaceae,perennial,no,native,Forb,Rancal,,
158,Ranunculus occidentalis,Ranunculaceae,perennial,no,native,Forb,Ranocc,Rancalocc,
158,Ranunculus occidentalis,Ranunculaceae,perennial,no,native,Forb,Ranocc,Ran-sp,
54,Rigiopappus leptocladus,Asteraceae,annual,yes,native,Forb,Riglep,RipLep,
159,Sagina apetala,Caryophyllaceae,annual,no,invasive,Forb,Sagape,,
160,Sagina californica,Caryophyllaceae,NA,no,native,Forb,Sagcal,,
161,Sanicula sp.,APIACEAE,perennial,no,native,Forb,Sansp.,,
162,Senecio vulgaris,Asteraceae,annual,yes,invasive,Forb,Senvul,,
55,Sidalcea diploscypha,Malvaceae,annual,yes,native,Forb,Siddip,SidDip,
56,Silene gallica,Caryophyllaceae,annual,no,native,Forb,Silgal,,
57,Sisyrinchium bellum,Iridaceae,perennial,no,native,Forb,Sisbel,,
163,Sonchus sp.,Asteraceae,NA,no,invasive,Forb,Sonsp.,,
164,Stellaria nitens,Caryophyllaceae,annual,no,native,Forb,Stenit,,
165,Streptanthus breweri,Brassicaceae,annual,no,native,Forb,Strbre,,
58,Taeniatherum caput-medusae,Poaceae,annual,no,invasive,Grass,Taecap,,
59,Thysanocarpus curvipes,Brassicaceae,annual,yes,native,Forb,Thycur,,
166,Torilis arvensis,APIACEAE,annual,no,invasive,Forb,Torarv,,
60,Trifolium albopurpureum,Fabaceae,annual,yes,native,N-fixer,Trialb,,
167,Trifolium dubium,Fabaceae,annual,no,invasive,N-fixer,NA,Tridub,
61,Trifolium fucatum,Fabaceae,annual,yes,native,N-fixer,Trifuc,,
64,Trifolium bifidum,Fabaceae,annual,yes,native,N-fixer,Trigra,Tribif,
64,Trifolium gracilentum,Fabaceae,annual,yes,native,N-fixer,Trigra,,Tribifgra
62,Trifolium hirtum,Fabaceae,annual,yes,invasive,N-fixer,Trihir,,
170,Triteleia laxa,THEMIDACEAE,perennial,no,native,Forb,Trilax,Trilax,NA
168,Trifolium microcephalum,Fabaceae,annual,yes,native,N-fixer,NA,Trimic,
82,Trifolium_lump,Fabaceae,annual,no,NA,N-fixer,Trisp,,Trifoliumsp
82,Trifolium_lump,Fabaceae,annual,no,NA,N-fixer,Trisp,,Tricil
82,Trifolium_lump,Fabaceae,annual,no,NA,N-fixer,Trisp,,Tridub
82,Trifolium_lump,Fabaceae,annual,no,NA,N-fixer,Trisp,,Trimic
169,Trifolium subterraneum,Fabaceae,annual,no,invasive,N-fixer,Trisub,,
63,Trifolium willdenovii,Fabaceae,annual,yes,native,N-fixer,Triwil,,
90,Total unknonwn forbs,NA,NA,NA,NA,Forb,uforbs,totunkforbs,NA
91,Total unknown grass,Poaceae,NA,NA,NA,Grass,ugrass,totunkgrass,NA
92,Unknown perrenial,LILIACEAE,perennial,no,NA,Forb,unkper,Thinleavedliliaceae,NA
65,Uropappus lindeye,Asteraceae,annual,yes,native,Forb,Urolin,,
65,Uropappus lindleyi,Asteraceae,annual,yes,native,Forb,Urolin,,
66,Velezia rigida,Caryophyllaceae,annual,no,invasive,Forb,Velrig,,
67,Vicia villosa,Fabaceae,annual,yes,invasive,N-fixer,Vicvil,,
68,Viola douglasii,VIOLACEAE,perennial,no,native,Forb,Viodou,,
69,Vulpia microstachys,Poaceae,annual,no,native,Grass,Vulmic,,
70,Vulpia myuros,Poaceae,annual,no,invasive,Grass,Vulmyu,Vulmyo,
70,Vulpia myuros,Poaceae,annual,no,invasive,Grass,Vulmyu,Vulpiasp,NA
71,Zigadenus fremontii,MELANTHIACEAE,perennial,no,native,Forb,Zigfre,,
