"","Line","habitat","watering","fertilization","WFtreatment","Plot","relcover","obsID","IDnum","family","annual","MarinaSp","nat.inv","Functional.group","clean_code"
"31","2","Harshserp","unwatered","unfertilized","C","16",0,34,129,"EUPHORBIACEAE","annual","no","native","Forb","ERESET"
"32","2","Harshserp","unwatered","unfertilized","C","16",0,36,24,"polygonaceae","shrub","no","native","Forb","ERINUD"
"33","2","Harshserp","unwatered","unfertilized","C","16",0,37,25,"Asteraceae","perennial","no","native","Forb","ERILAN"
"34","2","Harshserp","unwatered","unfertilized","C","16",0,38,130,"polygonaceae","annual","no","native","Forb","ERIVIM"
"35","2","Harshserp","unwatered","unfertilized","C","16",0,39,131,"Geraniaceae","annual","no","invasive","Forb","EROBRA"
"36","2","Harshserp","unwatered","unfertilized","C","16",5,40,132,"Geraniaceae","annual","yes","invasive","Forb","EROCIC"
"37","2","Harshserp","unwatered","unfertilized","C","16",0,41,26,"Euphorbiaceae","annual","yes","native","Forb","EUPCRE"
"38","2","Harshserp","unwatered","unfertilized","C","16",0,42,27,"Asteraceae","annual","no","native","Forb","FILCAL"
"39","2","Harshserp","unwatered","unfertilized","C","16",0,43,28,"LILIACEAE","bulb","no","native","Forb","FRIPUR"
"40","2","Harshserp","unwatered","unfertilized","C","16",0,44,81,"Rubiaceae","annual","no",NA,"Forb","GALIUMSP"
"41","2","Harshserp","unwatered","unfertilized","C","16",0,45,31,"Polemoniaceae","annual","yes","native","Forb","GILCAP"
"42","2","Harshserp","unwatered","unfertilized","C","16",2,46,32,"Polemoniaceae","annual","yes","native","Forb","GILTRI"
"43","2","Harshserp","unwatered","unfertilized","C","16",1,47,33,"Asteraceae","annual","yes","native","Forb","HEMCON"
"44","2","Harshserp","unwatered","unfertilized","C","16",0,48,34,"Asteraceae","annual","yes","native","Forb","HOLVIR"
"45","2","Harshserp","unwatered","unfertilized","C","16",0,49,35,"Asteraceae","annual","yes","invasive","Forb","HYPGLA"
"46","2","Harshserp","unwatered","unfertilized","C","16",0,50,36,"Asteraceae","annual","no","invasive","Forb","LACSER"
"47","2","Harshserp","unwatered","unfertilized","C","16",0,51,37,"Asteraceae","annual","yes","native","Forb","LAGMIN"
"48","2","Harshserp","unwatered","unfertilized","C","16",0,52,38,"Asteraceae","annual","yes","native","Forb","LASCAL"
"49","2","Harshserp","unwatered","unfertilized","C","16",0,53,39,"Brassicaceae","annual","yes","native","Forb","LEPNIT"
"50","2","Harshserp","unwatered","unfertilized","C","16",0,54,140,"Polemoniaceae","annual","no","native","Forb","LINBIC"
"51","2","Harshserp","unwatered","unfertilized","C","16",0,55,40,"Polemoniaceae","annual","yes","native","Forb","LINDIC"
"52","2","Harshserp","unwatered","unfertilized","C","16",0,56,141,"Polemoniaceae","annual","no","native","Forb","LINJEP"
"53","2","Harshserp","unwatered","unfertilized","C","16",0,57,41,"Poaceae","annual","no","invasive","Grass","LOLMUL"
"54","2","Harshserp","unwatered","unfertilized","C","16",0,58,42,"Apiaceae","perennial","no","native","Forb","LOMMAR"
"55","2","Harshserp","unwatered","unfertilized","C","16",0,59,43,"Fabaceae","annual","no","native","N-fixer","LOTHUM"
"56","2","Harshserp","unwatered","unfertilized","C","16",0,60,142,"Fabaceae","annual","no","native","N-fixer","LOTWRA"
"57","2","Harshserp","unwatered","unfertilized","C","16",0,61,143,"Fabaceae","annual","yes","native","N-fixer","LUPBICNAN"
"58","2","Harshserp","unwatered","unfertilized","C","16",0,63,45,"Asteraceae","annual","yes","native","Forb","MICCAL"
"59","2","Harshserp","unwatered","unfertilized","C","16",0,64,46,"Asteraceae","annual","yes","native","Forb","MICDOU"
"60","2","Harshserp","unwatered","unfertilized","C","16",0,65,47,"PHRYMACEAE","annual","no","native","Forb","MIMDOU"
"61","2","Harshserp","unwatered","unfertilized","C","16",0,66,49,"Poaceae","perennial","no","native","Grass","NASPUL"
"62","2","Harshserp","unwatered","unfertilized","C","16",0,67,50,"Polemoniaceae","annual","no","native","Forb","NAVJEP"
"63","2","Harshserp","unwatered","unfertilized","C","16",0,68,51,"Caryophyllaceae","annual","no","invasive","Forb","PETPRO"
"64","2","Harshserp","unwatered","unfertilized","C","16",0,69,52,"Polemoniaceae","annual","no","native","Forb","PHLGRA"
"65","2","Harshserp","unwatered","unfertilized","C","16",2,70,53,"Plantaginaceae","annual","yes","native","Forb","PLAERE"
"66","2","Harshserp","unwatered","unfertilized","C","16",0,71,154,"Poaceae","annual","yes","native","Grass","POASEC"
"67","2","Harshserp","unwatered","unfertilized","C","16",0,73,54,"Asteraceae","annual","yes","native","Forb","RIGLEP"
"68","2","Harshserp","unwatered","unfertilized","C","16",0,74,55,"Malvaceae","annual","yes","native","Forb","SIDDIP"
"69","2","Harshserp","unwatered","unfertilized","C","16",0,75,56,"Caryophyllaceae","annual","no","native","Forb","SILGAL"
"70","2","Harshserp","unwatered","unfertilized","C","16",1,76,164,"Caryophyllaceae","annual","no","native","Forb","STENIT"
"71","2","Harshserp","unwatered","unfertilized","C","16",3,77,58,"Poaceae","annual","no","invasive","Grass","TAECAP"
"72","2","Harshserp","unwatered","unfertilized","C","16",0,79,59,"Brassicaceae","annual","yes","native","Forb","THYCUR"
"73","2","Harshserp","unwatered","unfertilized","C","16",0,80,166,"APIACEAE","annual","no","invasive","Forb","TORARV"
"74","2","Harshserp","unwatered","unfertilized","C","16",0,81,60,"Fabaceae","annual","yes","native","N-fixer","TRIALB"
"75","2","Harshserp","unwatered","unfertilized","C","16",0,83,61,"Fabaceae","annual","yes","native","N-fixer","TRIFUC"
"76","2","Harshserp","unwatered","unfertilized","C","16",0,84,62,"Fabaceae","annual","yes","invasive","N-fixer","TRIHIR"
"77","2","Harshserp","unwatered","unfertilized","C","16",0,85,170,"THEMIDACEAE","perennial","no","native","Forb","TRILAX"
"78","2","Harshserp","unwatered","unfertilized","C","16",0,86,63,"Fabaceae","annual","yes","native","N-fixer","TRIWIL"
"79","2","Harshserp","unwatered","unfertilized","C","16",1,87,65,"Asteraceae","annual","yes","native","Forb","UROLIN"
"80","2","Harshserp","unwatered","unfertilized","C","16",0,88,66,"Caryophyllaceae","annual","no","invasive","Forb","VELRIG"
"81","2","Harshserp","unwatered","unfertilized","C","16",0,89,67,"Fabaceae","annual","yes","invasive","N-fixer","VICVIL"
"82","2","Harshserp","unwatered","unfertilized","C","16",0,90,68,"VIOLACEAE","perennial","no","native","Forb","VIODOU"
"83","2","Harshserp","unwatered","unfertilized","C","16",1,91,69,"Poaceae","annual","no","native","Grass","VULMIC"
"84","2","Harshserp","unwatered","unfertilized","C","16",20,92,70,"Poaceae","annual","no","invasive","Grass","VULMYU"
"85","2","Harshserp","unwatered","unfertilized","C","16",0,94,71,"MELANTHIACEAE","perennial","no","native","Forb","ZIGFRE"
"86","2","Harshserp","unwatered","unfertilized","C","16",0,96,103,"Boraginaceae","annual","yes","native","Forb","AMSMEN"
"87","2","Harshserp","unwatered","unfertilized","C","16",0,97,3,"Primulaceae","annual","yes","invasive","Forb","ANAARV"
"88","2","Harshserp","unwatered","unfertilized","C","16",0,98,118,"MONTIACEAE","annual","no","native","Forb","CLAEXI"
"89","2","Harshserp","unwatered","unfertilized","C","16",0,99,122,"Poaceae","annual","yes","invasive","Grass","CYNECH"
"90","2","Harshserp","unwatered","unfertilized","C","16",0,100,126,"Brassicaceae","annual",NA,"invasive","Forb","DRAVER"
"91","2","Harshserp","unwatered","unfertilized","C","16",0,101,127,"Onagraceae","perennial","no","native","Forb","EPICIL"
"92","2","Harshserp","unwatered","unfertilized","C","16",0,103,133,"Poaceae","annual","yes","invasive","Grass","GASVEN"
"93","2","Harshserp","unwatered","unfertilized","C","16",0,104,136,"Linaceae","annual",NA,"native","Forb","HESMIC"
"94","2","Harshserp","unwatered","unfertilized","C","16",0,106,146,"Poaceae","perennial","no","native","Grass","MELCAL"
"95","2","Harshserp","unwatered","unfertilized","C","16",0,107,48,"PHRYMACEAE","perennial","no","native","Forb","MIMGUT"
"96","2","Harshserp","unwatered","unfertilized","C","16",0,108,148,"Caryophyllaceae","annual",NA,"native","Forb","MINDOU"
"97","2","Harshserp","unwatered","unfertilized","C","16",0,109,153,"VALERIANACEAE","annual","no","native","Forb","PLECIL"
"98","2","Harshserp","unwatered","unfertilized","C","16",0,110,156,"Asteraceae","annual",NA,"invasive","Forb","PSELUT"
"99","2","Harshserp","unwatered","unfertilized","C","16",0,111,159,"Caryophyllaceae","annual","no","invasive","Forb","SAGAPE"
"100","2","Harshserp","unwatered","unfertilized","C","16",1,112,162,"Asteraceae","annual","yes","invasive","Forb","SENVUL"
"101","2","Harshserp","unwatered","unfertilized","C","16",0,113,57,"Iridaceae","perennial","no","native","Forb","SISBEL"
"102","2","Harshserp","unwatered","unfertilized","C","20",0,138,1,"Asteraceae","annual","yes","native","Forb","AGOHET"
"103","2","Harshserp","unwatered","unfertilized","C","20",0,139,2,"ALLIACEAE","bulb","no","native","Forb","ALLFAL"
"104","2","Harshserp","unwatered","unfertilized","C","20",0,140,102,"ALLIACEAE","bulb","no","native","Forb","ALLAMP"
"105","2","Harshserp","unwatered","unfertilized","C","20",3,141,4,"Asteraceae","annual","yes","native","Forb","ANCFIL"
"106","2","Harshserp","unwatered","unfertilized","C","20",0,142,105,"Fabaceae","annual","no","native","N-fixer","ASTBRE"
"107","2","Harshserp","unwatered","unfertilized","C","20",0,143,106,"Fabaceae","annual","yes","native","N-fixer","ASTGAM"
"108","2","Harshserp","unwatered","unfertilized","C","20",0,145,5,"Brassicaceae","annual","yes","native","Forb","ATHPUS"
"109","2","Harshserp","unwatered","unfertilized","C","20",1,146,6,"Poaceae","annual","yes","invasive","Grass","AVEFAT"
"110","2","Harshserp","unwatered","unfertilized","C","20",0,147,108,"Poaceae","annual","yes","invasive","Grass","BRODIA"
"111","2","Harshserp","unwatered","unfertilized","C","20",0,148,8,"Poaceae","annual","yes","invasive","Grass","BROHOR"
"112","2","Harshserp","unwatered","unfertilized","C","20",0,149,9,"Poaceae","annual","yes","invasive","Grass","BROMAD"
"113","2","Harshserp","unwatered","unfertilized","C","20",0,150,10,"MONTIACEAE","annual","no","native","Forb","CALCIL"
"114","2","Harshserp","unwatered","unfertilized","C","20",0,151,11,"Asteraceae","annual","yes","native","Forb","CALPAU"
"115","2","Harshserp","unwatered","unfertilized","C","20",0,152,110,"LILIACEAE","bulb","no","native","Forb","CALSUP"
"116","2","Harshserp","unwatered","unfertilized","C","20",0,153,111,"Onagraceae","annual","no","native","Forb","CAMGRA"
"117","2","Harshserp","unwatered","unfertilized","C","20",0,154,112,"Asteraceae","annual","yes","invasive","Forb","CARPYC"
"118","2","Harshserp","unwatered","unfertilized","C","20",0,155,12,"Orobanchaceae","annual","yes","native","Forb","CASATT"
"119","2","Harshserp","unwatered","unfertilized","C","20",0,156,113,"Orobanchaceae","annual","no","native","Forb","CASRUB"
"120","2","Harshserp","unwatered","unfertilized","C","20",0,157,13,"Asteraceae","annual","yes","invasive","Forb","CENSOL"
"121","2","Harshserp","unwatered","unfertilized","C","20",0,158,14,"Asteraceae","annual","no","native","Forb","CENTRI"
"122","2","Harshserp","unwatered","unfertilized","C","20",0,159,15,"Asteraceae","annual","yes","native","Forb","CHAGLA"
"123","2","Harshserp","unwatered","unfertilized","C","20",0,160,16,"AGAVACEAE","bulb","no","native","Forb","CHLPOM"
"124","2","Harshserp","unwatered","unfertilized","C","20",0,161,116,"polygonaceae","annual","no","native","Forb","CHOPOL"
"125","2","Harshserp","unwatered","unfertilized","C","20",1,162,80,"Onagraceae","annual","no","native","Forb","CLARKIASP"
"126","2","Harshserp","unwatered","unfertilized","C","20",0,163,19,"Plantaginaceae","annual","yes","native","Forb","COLSPA"
"127","2","Harshserp","unwatered","unfertilized","C","20",0,164,119,"CRASSULACEAE","annual","no","native","Forb","CRACON"
"128","2","Harshserp","unwatered","unfertilized","C","20",0,165,20,"Boraginaceae","annual","no","native","Forb","CRYHIS"
"129","2","Harshserp","unwatered","unfertilized","C","20",0,166,21,"THEMIDACEAE","perennial","no","native","Forb","DICCAP"
"130","2","Harshserp","unwatered","unfertilized","C","20",0,167,22,"Poaceae","perennial","no","native","Grass","ELYELY"
"131","2","Harshserp","unwatered","unfertilized","C","20",0,168,23,"Onagraceae","annual","yes","native","Forb","EPIBRA"
"132","2","Harshserp","unwatered","unfertilized","C","20",0,170,129,"EUPHORBIACEAE","annual","no","native","Forb","ERESET"
"133","2","Harshserp","unwatered","unfertilized","C","20",0,172,24,"polygonaceae","shrub","no","native","Forb","ERINUD"
"134","2","Harshserp","unwatered","unfertilized","C","20",0,173,25,"Asteraceae","perennial","no","native","Forb","ERILAN"
"135","2","Harshserp","unwatered","unfertilized","C","20",0,174,130,"polygonaceae","annual","no","native","Forb","ERIVIM"
"136","2","Harshserp","unwatered","unfertilized","C","20",0,175,131,"Geraniaceae","annual","no","invasive","Forb","EROBRA"
"137","2","Harshserp","unwatered","unfertilized","C","20",0,176,132,"Geraniaceae","annual","yes","invasive","Forb","EROCIC"
"138","2","Harshserp","unwatered","unfertilized","C","20",0,177,26,"Euphorbiaceae","annual","yes","native","Forb","EUPCRE"
"139","2","Harshserp","unwatered","unfertilized","C","20",0,178,27,"Asteraceae","annual","no","native","Forb","FILCAL"
"140","2","Harshserp","unwatered","unfertilized","C","20",0,179,28,"LILIACEAE","bulb","no","native","Forb","FRIPUR"
"141","2","Harshserp","unwatered","unfertilized","C","20",0,180,81,"Rubiaceae","annual","no",NA,"Forb","GALIUMSP"
"142","2","Harshserp","unwatered","unfertilized","C","20",0,181,31,"Polemoniaceae","annual","yes","native","Forb","GILCAP"
"143","2","Harshserp","unwatered","unfertilized","C","20",0,182,32,"Polemoniaceae","annual","yes","native","Forb","GILTRI"
"144","2","Harshserp","unwatered","unfertilized","C","20",1,183,33,"Asteraceae","annual","yes","native","Forb","HEMCON"
"145","2","Harshserp","unwatered","unfertilized","C","20",0,184,34,"Asteraceae","annual","yes","native","Forb","HOLVIR"
"146","2","Harshserp","unwatered","unfertilized","C","20",0,185,35,"Asteraceae","annual","yes","invasive","Forb","HYPGLA"
"147","2","Harshserp","unwatered","unfertilized","C","20",0,186,36,"Asteraceae","annual","no","invasive","Forb","LACSER"
"148","2","Harshserp","unwatered","unfertilized","C","20",0,187,37,"Asteraceae","annual","yes","native","Forb","LAGMIN"
"149","2","Harshserp","unwatered","unfertilized","C","20",0,188,38,"Asteraceae","annual","yes","native","Forb","LASCAL"
"150","2","Harshserp","unwatered","unfertilized","C","20",0,189,39,"Brassicaceae","annual","yes","native","Forb","LEPNIT"
"151","2","Harshserp","unwatered","unfertilized","C","20",0,190,140,"Polemoniaceae","annual","no","native","Forb","LINBIC"
"152","2","Harshserp","unwatered","unfertilized","C","20",0,191,40,"Polemoniaceae","annual","yes","native","Forb","LINDIC"
"153","2","Harshserp","unwatered","unfertilized","C","20",0,192,141,"Polemoniaceae","annual","no","native","Forb","LINJEP"
"154","2","Harshserp","unwatered","unfertilized","C","20",1,193,41,"Poaceae","annual","no","invasive","Grass","LOLMUL"
"155","2","Harshserp","unwatered","unfertilized","C","20",0,194,42,"Apiaceae","perennial","no","native","Forb","LOMMAR"
"156","2","Harshserp","unwatered","unfertilized","C","20",0,195,43,"Fabaceae","annual","no","native","N-fixer","LOTHUM"
"157","2","Harshserp","unwatered","unfertilized","C","20",0,196,142,"Fabaceae","annual","no","native","N-fixer","LOTWRA"
"158","2","Harshserp","unwatered","unfertilized","C","20",0,197,143,"Fabaceae","annual","yes","native","N-fixer","LUPBICNAN"
"159","2","Harshserp","unwatered","unfertilized","C","20",0,199,45,"Asteraceae","annual","yes","native","Forb","MICCAL"
"160","2","Harshserp","unwatered","unfertilized","C","20",0,200,46,"Asteraceae","annual","yes","native","Forb","MICDOU"
"161","2","Harshserp","unwatered","unfertilized","C","20",0,201,47,"PHRYMACEAE","annual","no","native","Forb","MIMDOU"
"162","2","Harshserp","unwatered","unfertilized","C","20",0,202,49,"Poaceae","perennial","no","native","Grass","NASPUL"
"163","2","Harshserp","unwatered","unfertilized","C","20",0,203,50,"Polemoniaceae","annual","no","native","Forb","NAVJEP"
"164","2","Harshserp","unwatered","unfertilized","C","20",0,204,51,"Caryophyllaceae","annual","no","invasive","Forb","PETPRO"
"165","2","Harshserp","unwatered","unfertilized","C","20",0,205,52,"Polemoniaceae","annual","no","native","Forb","PHLGRA"
"166","2","Harshserp","unwatered","unfertilized","C","20",0,206,53,"Plantaginaceae","annual","yes","native","Forb","PLAERE"
"167","2","Harshserp","unwatered","unfertilized","C","20",0,207,154,"Poaceae","annual","yes","native","Grass","POASEC"
"168","2","Harshserp","unwatered","unfertilized","C","20",0,209,54,"Asteraceae","annual","yes","native","Forb","RIGLEP"
"169","2","Harshserp","unwatered","unfertilized","C","20",0,210,55,"Malvaceae","annual","yes","native","Forb","SIDDIP"
"170","2","Harshserp","unwatered","unfertilized","C","20",0,211,56,"Caryophyllaceae","annual","no","native","Forb","SILGAL"
"171","2","Harshserp","unwatered","unfertilized","C","20",0,212,164,"Caryophyllaceae","annual","no","native","Forb","STENIT"
"172","2","Harshserp","unwatered","unfertilized","C","20",0,213,58,"Poaceae","annual","no","invasive","Grass","TAECAP"
"173","2","Harshserp","unwatered","unfertilized","C","20",0,215,59,"Brassicaceae","annual","yes","native","Forb","THYCUR"
"174","2","Harshserp","unwatered","unfertilized","C","20",0,216,166,"APIACEAE","annual","no","invasive","Forb","TORARV"
"175","2","Harshserp","unwatered","unfertilized","C","20",0,217,60,"Fabaceae","annual","yes","native","N-fixer","TRIALB"
"176","2","Harshserp","unwatered","unfertilized","C","20",0,219,61,"Fabaceae","annual","yes","native","N-fixer","TRIFUC"
"177","2","Harshserp","unwatered","unfertilized","C","20",0,220,62,"Fabaceae","annual","yes","invasive","N-fixer","TRIHIR"
"178","2","Harshserp","unwatered","unfertilized","C","20",0,221,170,"THEMIDACEAE","perennial","no","native","Forb","TRILAX"
"179","2","Harshserp","unwatered","unfertilized","C","20",0,222,63,"Fabaceae","annual","yes","native","N-fixer","TRIWIL"
"180","2","Harshserp","unwatered","unfertilized","C","20",0,223,65,"Asteraceae","annual","yes","native","Forb","UROLIN"
"181","2","Harshserp","unwatered","unfertilized","C","20",0,224,66,"Caryophyllaceae","annual","no","invasive","Forb","VELRIG"
"182","2","Harshserp","unwatered","unfertilized","C","20",0,225,67,"Fabaceae","annual","yes","invasive","N-fixer","VICVIL"
"183","2","Harshserp","unwatered","unfertilized","C","20",0,226,68,"VIOLACEAE","perennial","no","native","Forb","VIODOU"
"184","2","Harshserp","unwatered","unfertilized","C","20",0,227,69,"Poaceae","annual","no","native","Grass","VULMIC"
"185","2","Harshserp","unwatered","unfertilized","C","20",0,228,70,"Poaceae","annual","no","invasive","Grass","VULMYU"
"186","2","Harshserp","unwatered","unfertilized","C","20",0,230,71,"MELANTHIACEAE","perennial","no","native","Forb","ZIGFRE"
"187","2","Harshserp","unwatered","unfertilized","C","20",0,232,103,"Boraginaceae","annual","yes","native","Forb","AMSMEN"
"188","2","Harshserp","unwatered","unfertilized","C","20",0,233,3,"Primulaceae","annual","yes","invasive","Forb","ANAARV"
"189","2","Harshserp","unwatered","unfertilized","C","20",0,234,118,"MONTIACEAE","annual","no","native","Forb","CLAEXI"
"190","2","Harshserp","unwatered","unfertilized","C","20",0,235,122,"Poaceae","annual","yes","invasive","Grass","CYNECH"
"191","2","Harshserp","unwatered","unfertilized","C","20",0,236,126,"Brassicaceae","annual",NA,"invasive","Forb","DRAVER"
"192","2","Harshserp","unwatered","unfertilized","C","20",0,237,127,"Onagraceae","perennial","no","native","Forb","EPICIL"
"193","2","Harshserp","unwatered","unfertilized","C","20",0,239,133,"Poaceae","annual","yes","invasive","Grass","GASVEN"
"194","2","Harshserp","unwatered","unfertilized","C","20",0,240,136,"Linaceae","annual",NA,"native","Forb","HESMIC"
"195","2","Harshserp","unwatered","unfertilized","C","20",0,242,146,"Poaceae","perennial","no","native","Grass","MELCAL"
"196","2","Harshserp","unwatered","unfertilized","C","20",0,243,48,"PHRYMACEAE","perennial","no","native","Forb","MIMGUT"
"197","2","Harshserp","unwatered","unfertilized","C","20",0,244,148,"Caryophyllaceae","annual",NA,"native","Forb","MINDOU"
"198","2","Harshserp","unwatered","unfertilized","C","20",14,245,153,"VALERIANACEAE","annual","no","native","Forb","PLECIL"
"199","2","Harshserp","unwatered","unfertilized","C","20",0,246,156,"Asteraceae","annual",NA,"invasive","Forb","PSELUT"
"200","2","Harshserp","unwatered","unfertilized","C","20",0,247,159,"Caryophyllaceae","annual","no","invasive","Forb","SAGAPE"
"201","2","Harshserp","unwatered","unfertilized","C","20",0,248,162,"Asteraceae","annual","yes","invasive","Forb","SENVUL"
"202","2","Harshserp","unwatered","unfertilized","C","20",0,249,57,"Iridaceae","perennial","no","native","Forb","SISBEL"
"203","2","Harshserp","unwatered","unfertilized","C","42",0,274,1,"Asteraceae","annual","yes","native","Forb","AGOHET"
"204","2","Harshserp","unwatered","unfertilized","C","42",0,275,2,"ALLIACEAE","bulb","no","native","Forb","ALLFAL"
"205","2","Harshserp","unwatered","unfertilized","C","42",0,276,102,"ALLIACEAE","bulb","no","native","Forb","ALLAMP"
"206","2","Harshserp","unwatered","unfertilized","C","42",0,277,4,"Asteraceae","annual","yes","native","Forb","ANCFIL"
"207","2","Harshserp","unwatered","unfertilized","C","42",0,278,105,"Fabaceae","annual","no","native","N-fixer","ASTBRE"
"208","2","Harshserp","unwatered","unfertilized","C","42",0,279,106,"Fabaceae","annual","yes","native","N-fixer","ASTGAM"
"209","2","Harshserp","unwatered","unfertilized","C","42",1,281,5,"Brassicaceae","annual","yes","native","Forb","ATHPUS"
"210","2","Harshserp","unwatered","unfertilized","C","42",0,282,6,"Poaceae","annual","yes","invasive","Grass","AVEFAT"
"211","2","Harshserp","unwatered","unfertilized","C","42",0,283,108,"Poaceae","annual","yes","invasive","Grass","BRODIA"
"212","2","Harshserp","unwatered","unfertilized","C","42",2,284,8,"Poaceae","annual","yes","invasive","Grass","BROHOR"
"213","2","Harshserp","unwatered","unfertilized","C","42",7,285,9,"Poaceae","annual","yes","invasive","Grass","BROMAD"
"214","2","Harshserp","unwatered","unfertilized","C","42",0,286,10,"MONTIACEAE","annual","no","native","Forb","CALCIL"
"215","2","Harshserp","unwatered","unfertilized","C","42",6,287,11,"Asteraceae","annual","yes","native","Forb","CALPAU"
"216","2","Harshserp","unwatered","unfertilized","C","42",0,288,110,"LILIACEAE","bulb","no","native","Forb","CALSUP"
"217","2","Harshserp","unwatered","unfertilized","C","42",0,289,111,"Onagraceae","annual","no","native","Forb","CAMGRA"
"218","2","Harshserp","unwatered","unfertilized","C","42",0,290,112,"Asteraceae","annual","yes","invasive","Forb","CARPYC"
"219","2","Harshserp","unwatered","unfertilized","C","42",0,291,12,"Orobanchaceae","annual","yes","native","Forb","CASATT"
"220","2","Harshserp","unwatered","unfertilized","C","42",0,292,113,"Orobanchaceae","annual","no","native","Forb","CASRUB"
"221","2","Harshserp","unwatered","unfertilized","C","42",0,293,13,"Asteraceae","annual","yes","invasive","Forb","CENSOL"
"222","2","Harshserp","unwatered","unfertilized","C","42",0,294,14,"Asteraceae","annual","no","native","Forb","CENTRI"
"223","2","Harshserp","unwatered","unfertilized","C","42",0,295,15,"Asteraceae","annual","yes","native","Forb","CHAGLA"
"224","2","Harshserp","unwatered","unfertilized","C","42",0,296,16,"AGAVACEAE","bulb","no","native","Forb","CHLPOM"
"225","2","Harshserp","unwatered","unfertilized","C","42",0,297,116,"polygonaceae","annual","no","native","Forb","CHOPOL"
"226","2","Harshserp","unwatered","unfertilized","C","42",4,298,80,"Onagraceae","annual","no","native","Forb","CLARKIASP"
"227","2","Harshserp","unwatered","unfertilized","C","42",0,299,19,"Plantaginaceae","annual","yes","native","Forb","COLSPA"
"228","2","Harshserp","unwatered","unfertilized","C","42",0,300,119,"CRASSULACEAE","annual","no","native","Forb","CRACON"
