"","Fullname","SpeciesCode","Annual","Functional.group","Origin","InSeedbank","TraitData"
"55","Lotus humistratus","LOTHUM","annual","N-fixer","Native","Yes","Yes"
"56","Lotus wrangelianus","LOTWRA","annual","N-fixer","Native","Yes","No"
"57",NA,"LUPBICNAN",NA,NA,NA,"Yes","No"
"58","Micropus californicus","MICCAL","annual","Forb","Native","Yes","Yes"
"59","Microseris douglasii","MICDOU","annual","Forb","Native","Yes","Yes"
"60","Mimulus douglasii","MIMDOU","annual","Forb","Native","Yes","Yes"
"61","Nassella pulchra","NASPUL","perennial","Grass","Native","Yes","Yes"
"62","Navarretia jepsonii","NAVJEP","annual","Forb","Native","Yes","Yes"
"63","Petrorhagia prolifera","PETPRO","annual","Forb","Non-Native","Yes","Yes"
"64","Phlox gracilis","PHLGRA","annual","Forb","Native","Yes","Yes"
"65","Plantago erecta","PLAERE","annual","Forb","Native","Yes","Yes"
"66","Poa secunda","POASEC","annual","Grass","Native","Yes","No"
"67","Rigiopappus leptocladus","RIGLEP","annual","Forb","Native","Yes","Yes"
"68","Sidalcea diploscypha","SIDDIP","annual","Forb","Native","Yes","Yes"
"69","Silene gallica","SILGAL","annual","Forb","Native","Yes","Yes"
"70","Stellaria nitens","STENIT","annual","Forb","Native","Yes","No"
"71","Taeniatherum caput-medusae","TAECAP","annual","Grass","Non-Native","Yes","Yes"
"72","Thysanocarpus curvipes","THYCUR","annual","Forb","Native","Yes","Yes"
"73","Torilis arvensis","TORARV","annual","Forb","Non-Native","Yes","No"
"74","Trifolium albopurpureum","TRIALB","annual","N-fixer","Native","Yes","Yes"
"75","Trifolium fucatum","TRIFUC","annual","N-fixer","Native","Yes","Yes"
"76","Trifolium hirtum","TRIHIR","annual","N-fixer","Non-Native","Yes","Yes"
"77",NA,"TRILAX",NA,NA,NA,"Yes","No"
"78","Trifolium willdenovii ","TRIWIL","annual","N-fixer","Native","Yes","Yes"
"79","Uropappus lindleyi","UROLIN","annual","Forb","Native","Yes","Yes"
"80","Velezia rigida","VELRIG","annual","Forb","Non-Native","Yes","Yes"
"81","Vicia villosa","VICVIL","annual","N-fixer","Non-Native","Yes","Yes"
"82","Viola douglasii","VIODOU","perennial","Forb","Native","Yes","Yes"
"83","Vulpia microstachys","VULMIC","annual","Grass","Native","Yes","Yes"
"84","Vulpia myuros","VULMYU","annual","Grass","Non-Native","Yes","No"
"85","Zigadenus fremontii","ZIGFRE","perennial","Forb","Native","Yes","Yes"
"86","Amsinckia menziesii","AMSMEN","annual","Forb","Native","Yes","No"
"87","Anagallis arvensis","ANAARV","annual","Forb","Non-Native","Yes","Yes"
"88","Claytonia exigua","CLAEXI","annual","Forb","Native","Yes","No"
"89","Cynosurus echinatus","CYNECH","annual","Grass","Non-Native","Yes","No"
"90",NA,"DRAVER",NA,NA,NA,"Yes","No"
"91",NA,"EPICIL",NA,NA,NA,"Yes","No"
"92","Gastridium ventricosum","GASVEN","annual","Grass","Non-Native","Yes","No"
"93",NA,"HESMIC",NA,NA,NA,"Yes","No"
"94","Melica californica","MELCAL","perennial","Grass","Native","Yes","No"
"95","Mimulus guttatus","MIMGUT","perennial","Forb","Native","Yes","Yes"
"96",NA,"MINDOU",NA,NA,NA,"Yes","No"
"97","Plectritis ciliosa ","PLECIL","annual","Forb","Native","Yes","No"
"98",NA,"PSELUT",NA,NA,NA,"Yes","No"
"99","Sagina apetala","SAGAPE","annual","Forb","Non-Native","Yes","No"
"100","Senecio vulgaris","SENVUL","annual","Forb","Non-Native","Yes","No"
"101","Sisyrinchium bellum","SISBEL","perennial","Forb","Native","Yes","Yes"
"102",NA,"ASTRAGSP",NA,NA,NA,"Yes","No"
"103","Ranunculus occidentalis","RANOCC","perennial","Forb","Native","Yes","No"
"104",NA,"UNKPER",NA,NA,NA,"Yes","No"
"105","Juncus bufonius","JUNBUF","annual","Grass","Native","Yes","No"
"106",NA,NA,NA,NA,NA,"Yes","No"
"107","Trifolium_lump","TRISP","annual","N-fixer",NA,"Yes","No"
"108","Trifolium gracilentum","TRIGRA","annual","N-fixer","Native","Yes","Yes"
"109","Brodiaea elegans","BROELE","perennial","Forb","Native","No","Yes"
"110","Clarkia gracilis","CLAGRA","annual","Forb","Native","No","Yes"
"111","Clarkia purpurea","CLAPUR","annual","Forb","Native","No","Yes"
"112","Galium aparine","GALAPA","annual","Forb","Native","No","Yes"
"113","Galium murale","GALMUR","annual","Forb","Non-Native","No","Yes"
"114","Medicago polymorpha","MEDPOL","annual","N-fixer","Non-Native","No","Yes"
